https://schema.org/Place,https://code4fukui.github.io/rdf/#number_of_households,https://schema.org/gender,https://code4fukui.github.io/rdf/#population
府中一丁目,68,男,66
府中一丁目,68,女,74
府中二丁目,94,男,78
府中二丁目,94,女,106
府中三丁目,160,男,157
府中三丁目,160,女,161
吾妻町,86,男,92
吾妻町,86,女,106
住吉町,88,男,93
住吉町,88,女,110
堀川町,236,男,199
堀川町,236,女,235
錦町,68,男,69
錦町,68,女,78
万代町,111,男,107
万代町,111,女,112
天王町,56,男,52
天王町,56,女,62
蓬莱町,86,男,87
蓬莱町,86,女,114
幸町,108,男,131
幸町,108,女,139
国府一丁目,99,男,97
国府一丁目,99,女,126
国府二丁目,150,男,167
国府二丁目,150,女,197
北府一丁目,0,男,0
北府一丁目,0,女,0
北府二丁目,171,男,213
北府二丁目,171,女,211
北府三丁目,297,男,334
北府三丁目,297,女,362
北府四丁目,160,男,230
北府四丁目,160,女,162
桂町,71,男,85
桂町,71,女,94
本多二丁目,126,男,130
本多二丁目,126,女,142
本多三丁目,61,男,63
本多三丁目,61,女,57
北府本町,0,男,0
北府本町,0,女,0
本町,82,男,94
本町,82,女,114
元町,94,男,104
元町,94,女,140
京町一丁目,72,男,97
京町一丁目,72,女,94
京町二丁目,59,男,53
京町二丁目,59,女,66
京町三丁目,59,男,85
京町三丁目,59,女,76
本多一丁目,100,男,110
本多一丁目,100,女,114
平和町,159,男,169
平和町,159,女,202
若松町,101,男,94
若松町,101,女,134
高瀬一丁目,319,男,413
高瀬一丁目,319,女,344
高瀬二丁目,59,男,55
高瀬二丁目,59,女,69
中央一丁目,77,男,82
中央一丁目,77,女,87
中央二丁目,108,男,130
中央二丁目,108,女,150
深草一丁目,172,男,193
深草一丁目,172,女,163
深草二丁目,104,男,113
深草二丁目,104,女,127
平出一丁目,87,男,112
平出一丁目,87,女,119
平出二丁目,291,男,349
平出二丁目,291,女,381
平出三丁目,171,男,214
平出三丁目,171,女,231
小松一丁目,76,男,97
小松一丁目,76,女,111
小松二丁目,250,男,309
小松二丁目,250,女,316
日野美一丁目,11,男,11
日野美一丁目,11,女,12
日野美二丁目,103,男,80
日野美二丁目,103,女,70
野上町,167,男,195
野上町,167,女,215
新町,64,男,74
新町,64,女,67
北千福町,270,男,277
北千福町,270,女,186
小松町,0,男,0
小松町,0,女,0
沢町,386,男,402
沢町,386,女,363
南一丁目,115,男,124
南一丁目,115,女,143
南二丁目,168,男,195
南二丁目,168,女,233
南三丁目,91,男,102
南三丁目,91,女,112
武生柳町,140,男,161
武生柳町,140,女,192
若竹町,127,男,141
若竹町,127,女,164
あおば町,76,男,97
あおば町,76,女,107
神明町,85,男,105
神明町,85,女,111
豊町,85,男,96
豊町,85,女,109
姫川一丁目,74,男,95
姫川一丁目,74,女,105
姫川二丁目,175,男,229
姫川二丁目,175,女,253
文京一丁目,174,男,226
文京一丁目,174,女,242
文京二丁目,218,男,280
文京二丁目,218,女,309
御幸町,182,男,184
御幸町,182,女,220
東千福町,289,男,368
東千福町,289,女,351
行松町,268,男,300
行松町,268,女,304
妙法寺町,175,男,247
妙法寺町,175,女,202
松森町,237,男,295
松森町,237,女,282
月見町,119,男,161
月見町,119,女,167
畷町,73,男,99
畷町,73,女,111
常久町,99,男,151
常久町,99,女,134
常久団地,18,男,30
常久団地,18,女,23
学園団地,217,男,311
学園団地,217,女,317
三ツ口町,149,男,151
三ツ口町,149,女,144
千福町,564,男,648
千福町,564,女,531
岡本町,162,男,185
岡本町,162,女,171
広瀬町,619,男,841
広瀬町,619,女,892
池の上町,198,男,318
池の上町,198,女,329
広瀬ひばりが丘,102,男,129
広瀬ひばりが丘,102,女,135
向が丘町,84,男,125
向が丘町,84,女,136
新小野,25,男,46
新小野,25,女,40
本保町,453,男,537
本保町,453,女,628
片屋町,222,男,323
片屋町,222,女,349
氷坂町,181,男,254
氷坂町,181,女,249
余田町,119,男,209
余田町,119,女,208
家久町,978,男,1321
家久町,978,女,1319
芝原町,0,男,0
芝原町,0,女,0
芝原一丁目,253,男,294
芝原一丁目,253,女,286
芝原二丁目,96,男,125
芝原二丁目,96,女,125
芝原三丁目,62,男,63
芝原三丁目,62,女,71
芝原四丁目,128,男,140
芝原四丁目,128,女,142
