https://schema.org/name,https://schema.org/category,https://schema.org/address,https://schema.org/streetAddress,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area,https://schema.org/telephone,https://schema.org/Service,https://schema.org/Service,https://schema.org/Service,https://schema.org/Service,https://schema.org/Service,https://schema.org/url
Easy Café&Dining　ダフィー絵梨香,飲食店,福井県越前市,宮谷町31-6,35.893522,136.222097,味真野,0778-27-8846,追加料金でサラダ追加,,,,,http://www.city.echizen.lg.jp/office/050/030/kenkou21/kenkou_ouendan.html
伊万里,飲食店,福井県越前市,新保2丁目2-2,35.911911,136.156045,大虫,0778-23-4845,ミニサラダサービス,分煙,,,,http://www.city.echizen.lg.jp/office/050/030/kenkou21/kenkou_ouendan.html
いろは本店,飲食店,福井県越前市,蓬莱町2-24,35.903085,136.167225,東,0778-22-0654,野菜増量,ご希望に応じて減塩,食後の歯磨きの場を提供,,,http://www.city.echizen.lg.jp/office/050/030/kenkou21/kenkou_ouendan.html
うまか亭,飲食店,福井県越前市,府中1丁目11-2,35.904474,136.17038,東,0778-21-8929,店内禁煙,,,,,http://www.city.echizen.lg.jp/office/050/030/kenkou21/kenkou_ouendan.html
栄雲堂,飲食店,福井県越前市,京町1丁目1-2,35.903082,136.165269,西,0778-22-0326,店内禁煙,,,,,http://www.city.echizen.lg.jp/office/050/030/kenkou21/kenkou_ouendan.html
越前そばの里,飲食店,福井県越前市,真柄町7-37,35.905355,136.20717,北新庄,0778-22-0272,店内禁煙,,,,,http://www.city.echizen.lg.jp/office/050/030/kenkou21/kenkou_ouendan.html
越前めん処　江戸屋,飲食店,福井県越前市,高瀬2丁目6-15,35.897868,136.159367,西,0778-24-3248,ご希望に応じて減塩,店内禁煙,,,,http://www.city.echizen.lg.jp/office/050/030/kenkou21/kenkou_ouendan.html
御清水庵,飲食店,福井県越前市,吾妻町3-33,35.901338,136.169999,東,0778-21-5088,店内禁煙,,,,,http://www.city.echizen.lg.jp/office/050/030/kenkou21/kenkou_ouendan.html
お多福食堂,飲食店,福井県越前市,庄町21-5-3,35.904955,136.19896,国高,0778-24-2457,オムライスのみ減塩,,,,,http://www.city.echizen.lg.jp/office/050/030/kenkou21/kenkou_ouendan.html
カフェダイニング　BOND,飲食店,福井県越前市,稲寄町24-1-27,35.920151,136.188419,国高,0778-67-1800,ミニサラダサービス,野菜増量,追加料金でサラダ追加,キシリトールガムのサービス,店内禁煙,http://www.city.echizen.lg.jp/office/050/030/kenkou21/kenkou_ouendan.html
cafe　ゆいまーる,飲食店,福井県越前市,岩本町6-2-3,35.90945,136.245252,岡本,0778-42-1778,野菜増量,ご希望に応じて減塩,食後の歯磨きの場を提供,店内禁煙,,http://www.city.echizen.lg.jp/office/050/030/kenkou21/kenkou_ouendan.html
カメダ珈琲,飲食店,福井県越前市,新町7-8 シピイ1階,35.9039356,136.1526699,西,0778-42-6612,ミニサラダサービス,分煙,,,,http://www.city.echizen.lg.jp/office/050/030/kenkou21/kenkou_ouendan.html
くらそば幸道,飲食店,福井県越前市,高木町36-7-8,35.923969,136.192749,国高,0778-24-0777,店内禁煙,,,,,http://www.city.echizen.lg.jp/office/050/030/kenkou21/kenkou_ouendan.html
珈琲の店 ブルー,飲食店,福井県越前市,深草1丁目9-4,35.903946,136.161039,西,0778-22-5949,店内禁煙,,,,,http://www.city.echizen.lg.jp/office/050/030/kenkou21/kenkou_ouendan.html
coco.malia,飲食店,福井県越前市,押田1丁目3-20,35.907729,136.186112,国高,0778-21-2205,ミニサラダサービス,野菜増量,減塩メニューの提示,,,http://www.city.echizen.lg.jp/office/050/030/kenkou21/kenkou_ouendan.html
コメダ珈琲店武生店,飲食店,福井県越前市,芝原5丁目3-8,35.9211008,136.1591928,吉野,0778-42-5551,追加料金でサラダ追加,歯磨きの場を提供,分煙,,,http://www.city.echizen.lg.jp/office/050/030/kenkou21/kenkou_ouendan.html
サイゼリヤ福井武生店,飲食店,福井県越前市,新町1丁目1-1,35.9070869,136.1540436,西,0778-23-3597,店内禁煙,,,,,http://www.city.echizen.lg.jp/office/050/030/kenkou21/kenkou_ouendan.html
里山工房さかのくち,飲食店,福井県越前市,湯谷町28-23-7,35.85928,136.085032,坂口,0778-28-1820,追加料金でサラダ追加,野菜増量のメニューがある,地場産の野菜や山菜、地元特産品の味噌を使っている,ご希望に応じて減塩,,http://www.city.echizen.lg.jp/office/050/030/kenkou21/kenkou_ouendan.html
ジャムハウス,飲食店,福井県越前市,芝原5丁目20-24,35.926085,136.162041,吉野,0778-23-5960,ご希望に応じて減塩,,,,,http://www.city.echizen.lg.jp/office/050/030/kenkou21/kenkou_ouendan.html
シュトラウス 金進堂,飲食店,福井県越前市,姫川2丁目3-39,35.896552,136.171466,南,0778-22-1471,店内禁煙,,,,,http://www.city.echizen.lg.jp/office/050/030/kenkou21/kenkou_ouendan.html
