https://schema.org/name,https://schema.org/address,https://schema.org/Place,https://code4fukui.github.io/rdf/#echizen_city_origin,https://code4fukui.github.io/rdf/#category1,https://code4fukui.github.io/rdf/#category2,https://code4fukui.github.io/rdf/#category3,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area,https://code4fukui.github.io/rdf/#institution,https://schema.org/telephone,https://schema.org/opens,https://schema.org/price,https://schema.org/description
子ども・子育て総合相談室,越前市府中一丁目11-2,市民プラザたけふ4階,子ども福祉課,福祉,市民プラザたけふ4階,子ども・子育て総合相談,35.9053539,136.1703215,東,越前市役所　子ども福祉課　子ども・子育て総合相談室,0778-22-3628,,,子ども・子育て総合相談窓口では、越前市の18歳未満の子どもに関する様々な相談を受けています
越前市児童発達支援センターなないろ,越前市府中一丁目11-2,市民プラザたけふ4階,子ども福祉課,福祉,市民プラザたけふ4階,児童発達支援・放課後等デイサービス・保育所等訪問支援,35.9053539,136.1703215,東,越前市役所　子ども福祉課　子ども・子育て総合相談室,0778-22-3628,,,地域の中核的な療育支援施設として、市内の障がいのあるお子さんや発達の気がかりなお子さんとご家族への療育支援や相談支援を行います。
武生東児童センター（ぴょんちゃんくらぶ）,越前市国府2-16-8,,子ども福祉課,福祉,武生東児童センター,赤ちゃん・親子教室,35.9086618,136.1675216,東,（福）越前市社会福祉協議会,0778-24-5229,赤ちゃん教室（第1・2・4火曜日）　親子教室（第1・2・4火曜日）10時半～11時半,,就園前の乳幼児を対象に同じ年齢で集う楽しさを体感したり、親・保護者同士の交流の場として、集団遊び・造形遊び・季節の行事などの活動をしています。
武生西児童センター（ひよこクラブ）,越前市中央2-4-10,,子ども福祉課,福祉,武生西児童センター,赤ちゃん・親子教室,35.9025011,136.1568978,西,（福）越前市社会福祉協議会,0778-23-4893,赤ちゃん教室（第1･3･4火曜日）　親子教室（第1･3･4火曜日）10時半～11時半,,就園前の乳幼児を対象に同じ年齢で集う楽しさを体感したり、親・保護者同士の交流の場として、集団遊び・造形遊び・季節の行事などの活動をしています。
武生南児童センター（なかよしクラブ）,越前市武生柳町11-28,,子ども福祉課,福祉,武生南児童センター,赤ちゃん・親子教室,35.8955577,136.1647306,南,（福）越前市社会福祉協議会,0778-23-5892,赤ちゃん教室（第2木曜日）　親子教室（第1・3木曜日）10時半～11時半,,就園前の乳幼児を対象に同じ年齢で集う楽しさを体感したり、親・保護者同士の交流の場として、集団遊び・造形遊び・季節の行事などの活動をしています。
神山児童館（あっぷっぷ・ほっとママCLUB）,越前市広瀬町102-41,,子ども福祉課,福祉,神山児童館,赤ちゃん・親子教室,35.9098814,136.2406742,神山,（福）越前市社会福祉協議会,0778-42-5573,赤ちゃん教室（第3木曜日）　親子教室（第2・4木曜日）10時半～11時半,,就園前の乳幼児を対象に同じ年齢で集う楽しさを体感したり、親・保護者同士の交流の場として、集団遊び・造形遊び・季節の行事などの活動をしています。
吉野児童館（あっぷるクラブ）,越前市本保町19-9-1,,子ども福祉課,福祉,吉野児童館,赤ちゃん・親子教室,35.9255845,136.1585719,吉野,（福）越前市社会福祉協議会,0778-29-3230,赤ちゃん教室（第3木曜日）　親子教室（第2・4木曜日）10時半～11時半,,就園前の乳幼児を対象に同じ年齢で集う楽しさを体感したり、親・保護者同士の交流の場として、集団遊び・造形遊び・季節の行事などの活動をしています。
国高児童センター（ほっぺ＆ぽっぽクラブ）,越前市国高2-325-3,,子ども福祉課,福祉,国高児童センター,赤ちゃん・親子教室,35.9108844,136.1893723,国高,（福）越前市社会福祉協議会,0778-21-5055,赤ちゃん教室（第3木曜日）　親子教室（第2・4木曜日）10時半～11時半,,就園前の乳幼児を対象に同じ年齢で集う楽しさを体感したり、親・保護者同士の交流の場として、集団遊び・造形遊び・季節の行事などの活動をしています。
大虫児童館（るんるんクラブ）,越前市丹生郷町13-20-4,,子ども福祉課,福祉,大虫児童館,赤ちゃん・親子教室,35.9081222,136.1415077,大虫,（福）越前市社会福祉協議会,0778-25-0770,赤ちゃん教室（第3木曜日）　親子教室（第2・4木曜日）10時半～11時半,,就園前の乳幼児を対象に同じ年齢で集う楽しさを体感したり、親・保護者同士の交流の場として、集団遊び・造形遊び・季節の行事などの活動をしています。
王子保児童センター（はっぴークラブ),越前市四郎丸町55-4-4,,子ども福祉課,福祉,王子保児童センター,赤ちゃん・親子教室,35.8668168,136.1660813,王子保,（福）越前市社会福祉協議会,0778-24-2299,赤ちゃん教室（第3木曜日）　親子教室（第1・2木曜日）10時半～11時半,,就園前の乳幼児を対象に同じ年齢で集う楽しさを体感したり、親・保護者同士の交流の場として、集団遊び・造形遊び・季節の行事などの活動をしています。
