id,title,image1,description1,image2,description2,image3,description3,image4,description4
1,区画溝（国府関連施設の区画溝の可能性がある）,10101_kokufuhakkutsu.png,位置図,10102_kokufuhakkutsu.png,全景データは掘り下げ前で、掘り下げ後はこのような溝になります,10103_kokufuhakkutsu.png,この区画溝からは土師器のお椀の底が出ています,,
2,溝,10201_kokufuhakkutsu.png,位置図,10202_kokufuhakkutsu.png,緑釉陶器（三足盤）を上から撮影,10203_kokufuhakkutsu.png,緑釉陶器（三足盤）を横から撮影。突起は脚部分,,
3,井戸,10301_kokufuhakkutsu.png,位置図,,,,,,
4,井戸,10401_kokufuhakkutsu.png,位置図,,,,,,
5,土坑（平安時代）,10501_kokufuhakkutsu.png,位置図,,,,,,
6,土坑（中世）,10601_kokufuhakkutsu.png,位置図,10602_kokufuhakkutsu.png,ここからは土師器（赤い皿のこと）が重なって出土しています,,,,
7,須恵器（杯・蓋）,10701_kokufuhakkutsu.png,位置図,10702_kokufuhakkutsu.png,,,,,
8,須恵器（蓋）,10801_kokufuhakkutsu.png,位置図,10802_kokufuhakkutsu.png,完形で出土しています,,,,
9,小さな穴はすべて柱穴扱いです,10901_kokufuhakkutsu.png,位置図,,,,,,
10,小さな穴はすべて柱穴扱いです,11001_kokufuhakkutsu.png,位置図,,,,,,
