https://schema.org/name,https://schema.org/abstract,https://schema.org/address,https://schema.org/telephone,https://schema.org/url,https://schema.org/email,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://schema.org/Map,https://schema.org/color,https://schema.org/category,https://schema.org/description
越前市AW-Iスポーツアリーナ,フェンシング競技会場,越前市高瀬二丁目8-23,,https://happy.e-fas.net/#/,,35.90016,136.155606,国体マップ,赤,項目１,競技開催日
越前市AW-Iスポーツアリーナ,フェンシング競技会場,越前市高瀬二丁目8-23,,https://happy.e-fas.net/#/,,35.90016,136.155606,国体マップ,赤,項目1内容,9/30（日）、10/1（月）、10/2（火）、10/3（水）
武生中央公園庭球場,ソフトテニス競技会場,越前市高瀬二丁目7-81,,https://happy.e-fas.net/#/,,35.89808,136.15709,国体マップ,赤,項目１,競技開催日
武生中央公園庭球場,ソフトテニス競技会場,越前市高瀬二丁目7-81,,https://happy.e-fas.net/#/,,35.89808,136.15709,国体マップ,赤,項目1内容,10/5（金）、10/6（土）、10/7（日）、10/8（月）
丹南総合公園野球場,軟式野球競技会場,越前市余田町50-4,,https://happy.e-fas.net/#/,,35.928626,136.152143,国体マップ,赤,項目１,競技開催日
丹南総合公園野球場,軟式野球競技会場,越前市余田町50-4,,https://happy.e-fas.net/#/,,35.928626,136.152143,国体マップ,赤,項目1内容,10/5（金）、10/6（土）
武生東運動公園ソフトボール場,ソフトボール競技会場,越前市宮谷町35-10,,https://happy.e-fas.net/#/,,35.893004,136.219795,国体マップ,赤,項目１,競技開催日
武生東運動公園ソフトボール場,ソフトボール競技会場,越前市宮谷町35-10,,https://happy.e-fas.net/#/,,35.893004,136.219795,国体マップ,赤,項目1内容,9/30（日）、10/1（月）、10/2（火）　障スポ　10/13(土）、10/14（日）、10/15（月）
シピィ（駐車場）,8時から駐車できます。,,,https://happy.e-fas.net/#/,,35.9043056,136.1519722,国体マップ,緑,,
武生西小学校（駐車場）,雨天時利用不可。8時から駐車できます。,,,https://happy.e-fas.net/#/,,35.902,136.15825,国体マップ,緑,,
アシックスP（駐車場、）,8時から駐車できます。,,,https://happy.e-fas.net/#/,,35.8749167,136.1576667,国体マップ,緑,,
福井村田P（駐車場、）,土日祝のみ。8時から駐車できます。,,,https://happy.e-fas.net/#/,,35.9006111,136.1463611,国体マップ,緑,,
AW工業P（駐車場、）,日のみ。8時から駐車できます。,,,https://happy.e-fas.net/#/,,35.874.556,136.1484722,国体マップ,緑,,
