https://schema.org/name,https://schema.org/address,https://code4fukui.github.io/rdf/#echizen_city_origin,https://code4fukui.github.io/rdf/#category1,https://code4fukui.github.io/rdf/#category2,https://code4fukui.github.io/rdf/#category3,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area,https://schema.org/telephone
武生東小学校,越前市国府二丁目9-12,防灾安全课,防灾,广域避难所,全部灾害,35.9084868,136.1685104,東地区,0778-22-0367
武生西小学校,越前市中央二丁目2-13,防灾安全课,防灾,广域避难所,全部灾害,35.9025706,136.1581421,西地区,0778-22-0408
武生第一中学校,越前市平出一丁目6-1,防灾安全课,防灾,广域避难所,全部灾害,35.9085588,136.1584336,西地区,0778-23-1411
武生南小学校,越前市武生柳町13-20,防灾安全课,防灾,广域避难所,全部灾害,35.8942968,136.1643807,南地区,0778-22-0366
武生第二中学校,越前市妙法寺町42-15,防灾安全课,防灾,广域避难所,全部灾害,35.8873808,136.1603785,南地区,0778-23-1422
神山小学校,越前市広瀬町102-43,防灾安全课,防灾,广域避难所,全部灾害,35.8857334,136.1360452,神山地区,0778-22-1104
吉野小学校,越前市本保町17-1,防灾安全课,防灾,广域避难所,全部灾害,35.9261038,136.1572387,吉野地区,0778-22-0192
コミュニティセンター柳荘,越前市家久町105-10-1,防灾安全课,防灾,广域避难所,全部灾害,35.9204726,136.1719215,吉野地区,0778-23-3436
国高小学校,越前市国高一丁目15-5,防灾安全课,防灾,广域避难所,全部灾害,35.9123147,136.1859754,国高地区,0778-22-1045
武生第三中学校,越前市村国二丁目3-56,防灾安全课,防灾,广域避难所,全部灾害,35.9057096,136.1758765,国高地区,0778-23-1433
大虫小学校,越前市高森町14-15,防灾安全课,防灾,广域避难所,全部灾害,35.9062085,136.1418661,大虫地区,0778-22-1109
坂口小学校,越前市湯谷町24-25,防灾安全课,防灾,广域避难所,全部灾害,35.8589351,136.0868953,坂口地区,0778-28-1808
王子保小学校,越前市今宿町5-14,防灾安全课,防灾,广域避难所,全部灾害,35.8661114,136.1674812,王子保地区,0778-22-1293
武生第六中学校,越前市四郎丸町16-1,防灾安全课,防灾,广域避难所,全部灾害,35.8657,136.1590542,王子保地区,0778-22-1462
北日野小学校,越前市小野谷町2-2,防灾安全课,防灾,广域避难所,全部灾害,35.8894509,136.190595,北日野地区,0778-22-1095
万葉中学校,越前市西尾町48-18,防灾安全课,防灾,广域避难所,全部灾害,35.8922735,136.2135026,北日野地区,0778-27-1258
北新庄小学校,越前市北町47-6,防灾安全课,防灾,广域避难所,全部灾害,35.9139874,136.2099638,北新庄地区,0778-22-1040
味真野小学校,越前市池泉町9-1,防灾安全课,防灾,广域避难所,全部灾害,35.8905074,136.2328142,味真野地区,0778-27-1323
白山小学校,越前市都辺町24-2,防灾安全课,防灾,广域避难所,全部灾害,35.8880581,136.0528846,白山地区,0778-28-1002
武生第五中学校,越前市都辺町36-73,防灾安全课,防灾,广域避难所,全部灾害,35.8885303,136.0568425,白山地区,0778-28-1004
花筐小学校,越前市粟田部町41-12,防灾安全课,防灾,广域避难所,地震,35.9141213,136.2403936,粟田部地区,0778-42-0045
いまだて芸術館,越前市粟田部町11-1-1,防灾安全课,防灾,广域避难所,全部灾害,35.9187262,136.2472218,粟田部地区,0778-42-2700
今立体育センター,越前市岩本町1-9,防灾安全课,防灾,广域避难所,全部灾害,35.9098967,136.2406742,粟田部地区,0778-43-1587
岡本小学校,越前市定友町10-15,防灾安全课,防灾,广域避难所,全部灾害,35.9151435,136.2451764,岡本地区,0778-42-0101
南越中学校,越前市野岡町28-4,防灾安全课,防灾,广域避难所,全部灾害,35.9261258,136.2497424,南中山地区,0778-42-1870
