https://schema.org/name,https://schema.org/address,https://code4fukui.github.io/rdf/#echizen_city_origin,https://code4fukui.github.io/rdf/#category1,https://code4fukui.github.io/rdf/#category2,https://code4fukui.github.io/rdf/#category3,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area,https://schema.org/telephone
TAKEFU HIGASHI SHOGAKKO,Kokufu 2chome 9-12,Seção de Segurança e Prevenção de Desastres do Município de Echizen,prevenção de desastres,ÁREA DE REFÚGIO DA REGIÃO,Todos os tipos de desastres,35.9084868,136.1685104,REGIÃO DE HIGASHI,0778-22-0367
TAKEFU NISHI SHOGAKKO,Chuo 2chome 2-13,Seção de Segurança e Prevenção de Desastres do Município de Echizen,prevenção de desastres,ÁREA DE REFÚGIO DA REGIÃO,Todos os tipos de desastres,35.9025706,136.1581421,REGIÃO DE NISHI,0778-22-0408
TAKEFU DAI ICHI CHUGAKKO,Hiraide 1chome 6-1,Seção de Segurança e Prevenção de Desastres do Município de Echizen,prevenção de desastres,ÁREA DE REFÚGIO DA REGIÃO,Todos os tipos de desastres,35.9085588,136.1584336,REGIÃO DE NISHI,0778-23-1411
TAKEFU MINAMI SHOGAKKO,Takefu Yanagi-cho 13-20,Seção de Segurança e Prevenção de Desastres do Município de Echizen,prevenção de desastres,ÁREA DE REFÚGIO DA REGIÃO,Todos os tipos de desastres,35.8942968,136.1643807,REGIÃO DE MINAMI,0778-22-0366
TAKEFU DAI NI CHUGAKKO,Miyohiji-cho 42-15,Seção de Segurança e Prevenção de Desastres do Município de Echizen,prevenção de desastres,ÁREA DE REFÚGIO DA REGIÃO,Todos os tipos de desastres,35.8873808,136.1603785,REGIÃO DE MINAMI,0778-23-1422
KAMIYAMA SHOGAKKO,Hirose-cho 102-43,Seção de Segurança e Prevenção de Desastres do Município de Echizen,prevenção de desastres,ÁREA DE REFÚGIO DA REGIÃO,Todos os tipos de desastres,35.8857334,136.1360452,REGIÃO DE KAMIYAMA,0778-22-1104
YOSHINO SHOGAKKO,Honbo-cho 17-1,Seção de Segurança e Prevenção de Desastres do Município de Echizen,prevenção de desastres,ÁREA DE REFÚGIO DA REGIÃO,Todos os tipos de desastres,35.9261038,136.1572387,REGIÃO DE YOSHINO,0778-22-0192
COMMUNITY CENTER YANAGISO,Iehisa-cho 105-10-1,Seção de Segurança e Prevenção de Desastres do Município de Echizen,prevenção de desastres,ÁREA DE REFÚGIO DA REGIÃO,Todos os tipos de desastres,35.9204726,136.1719215,REGIÃO DE YOSHINO,0778-23-3436
KUNITAKA SHOGAKKO,Kunitaka 1 Chome 15-5,Seção de Segurança e Prevenção de Desastres do Município de Echizen,prevenção de desastres,ÁREA DE REFÚGIO DA REGIÃO,Todos os tipos de desastres,35.9123147,136.1859754,REGIÃO DE KUNITAKA,0778-22-1045
TAKEFU DAI SAN CHUGAKKO,Murakuni 2 Chome 3-56,Seção de Segurança e Prevenção de Desastres do Município de Echizen,prevenção de desastres,ÁREA DE REFÚGIO DA REGIÃO,Todos os tipos de desastres,35.9057096,136.1758765,REGIÃO DE KUNITAKA,0778-23-1433
