https://code4fukui.github.io/rdf/#year,https://schema.org/category,https://code4fukui.github.io/rdf/#areasquare_m2
平成17年度,土地　行政財産,1771872
平成17年度,土地　普通財産,241152
平成17年度,土地　山林,697114
平成17年度,土地　土地計,2710138
平成17年度,建物　木造　行政財産,18454
平成17年度,建物　木造　普通財産,1383
平成17年度,建物　木造　木造計,19837
平成17年度,建物　非木造　行政財産,349539
平成17年度,建物　非木造　普通財産,4407
平成17年度,建物　非木造　非木造計,353946
平成17年度,建物　建物計,373783
平成18年度,土地　行政財産,1772212
平成18年度,土地　普通財産,242147
平成18年度,土地　山林,697114
平成18年度,土地　土地計,2711473
平成18年度,建物　木造　行政財産,18224
平成18年度,建物　木造　普通財産,1383
平成18年度,建物　木造　木造計,19607
平成18年度,建物　非木造　行政財産,352987
平成18年度,建物　非木造　普通財産,5313
平成18年度,建物　非木造　非木造計,358300
平成18年度,建物　建物計,377907
平成19年度,土地　行政財産,1777511
平成19年度,土地　普通財産,239879
平成19年度,土地　山林,697114
平成19年度,土地　土地計,2714504
平成19年度,建物　木造　行政財産,16672
平成19年度,建物　木造　普通財産,1383
平成19年度,建物　木造　木造計,18055
平成19年度,建物　非木造　行政財産,361806
平成19年度,建物　非木造　普通財産,3766
平成19年度,建物　非木造　非木造計,365572
平成19年度,建物　建物計,383627
平成20年度,土地　行政財産,1779675
平成20年度,土地　普通財産,449174
平成20年度,土地　山林,697114
平成20年度,土地　土地計,2925963
平成20年度,建物　木造　行政財産,16526
平成20年度,建物　木造　普通財産,1383
平成20年度,建物　木造　木造計,17909
平成20年度,建物　非木造　行政財産,360365
平成20年度,建物　非木造　普通財産,4099
平成20年度,建物　非木造　非木造計,364464
平成20年度,建物　建物計,382373
平成21年度,土地　行政財産,1785854
平成21年度,土地　普通財産,448963
平成21年度,土地　山林,733049
平成21年度,土地　土地計,2967866
平成21年度,建物　木造　行政財産,16018
平成21年度,建物　木造　普通財産,1383
平成21年度,建物　木造　木造計,17401
平成21年度,建物　非木造　行政財産,359693
平成21年度,建物　非木造　普通財産,4099
平成21年度,建物　非木造　非木造計,363792
平成21年度,建物　建物計,381193
平成22年度,土地　行政財産,1789014
平成22年度,土地　普通財産,451585
平成22年度,土地　山林,733049
平成22年度,土地　土地計,2973648
平成22年度,建物　木造　行政財産,15787
平成22年度,建物　木造　普通財産,1383
平成22年度,建物　木造　木造計,17170
平成22年度,建物　非木造　行政財産,356943
平成22年度,建物　非木造　普通財産,6819
平成22年度,建物　非木造　非木造計,363762
平成22年度,建物　建物計,380932
平成23年度,土地　行政財産,1803750
平成23年度,土地　普通財産,497265
平成23年度,土地　山林,733049
平成23年度,土地　土地計,3034064
平成23年度,建物　木造　行政財産,15981
平成23年度,建物　木造　普通財産,1417
平成23年度,建物　木造　木造計,17398
平成23年度,建物　非木造　行政財産,355440
平成23年度,建物　非木造　普通財産,8067
平成23年度,建物　非木造　非木造計,363507
平成23年度,建物　建物計,380905
平成24年度,土地　行政財産,1817071
平成24年度,土地　普通財産,504059
平成24年度,土地　山林,733049
平成24年度,土地　土地計,3054179
平成24年度,建物　木造　行政財産,15834
平成24年度,建物　木造　普通財産,1462
平成24年度,建物　木造　木造計,17296
平成24年度,建物　非木造　行政財産,354078
平成24年度,建物　非木造　普通財産,9457
平成24年度,建物　非木造　非木造計,363535
平成24年度,建物　建物計,380831
平成25年度,土地　行政財産,1801914
平成25年度,土地　普通財産,574965
平成25年度,土地　山林,733049
平成25年度,土地　土地計,3127180
平成25年度,建物　木造　行政財産,15595
平成25年度,建物　木造　普通財産,1399
平成25年度,建物　木造　木造計,17163
平成25年度,建物　非木造　行政財産,341720
平成25年度,建物　非木造　普通財産,8067
平成25年度,建物　非木造　非木造計,362475
平成25年度,建物　建物計,379638
平成26年度,土地　行政財産,1812384
平成26年度,土地　普通財産,551887
平成26年度,土地　山林,733049
平成26年度,土地　土地計,3114572
平成26年度,建物　木造　行政財産,15721
平成26年度,建物　木造　普通財産,1263
平成26年度,建物　木造　木造計,17121
平成26年度,建物　非木造　行政財産,342704
平成26年度,建物　非木造　普通財産,8067
平成26年度,建物　非木造　非木造計,361577
平成26年度,建物　建物計,378698
平成27年度,土地　行政財産,1887083
平成27年度,土地　普通財産,545006
平成27年度,土地　山林,726223
平成27年度,土地　土地計,3158312
平成27年度,建物　木造　行政財産,16072
平成27年度,建物　木造　普通財産,1867
平成27年度,建物　木造　木造計,17939
平成27年度,建物　非木造　行政財産,338166
平成27年度,建物　非木造　普通財産,9336
平成27年度,建物　非木造　非木造計,347052
平成27年度,建物　建物計,364991
平成28年度,土地　行政財産,1886455
平成28年度,土地　普通財産,541560
平成28年度,土地　山林,726223
平成28年度,土地　土地計,3154238
平成28年度,建物　木造　行政財産,16102
平成28年度,建物　木造　普通財産,1867
平成28年度,建物　木造　木造計,17969
平成28年度,建物　非木造　行政財産,328063
平成28年度,建物　非木造　普通財産,8764
平成28年度,建物　非木造　非木造計,336827
平成28年度,建物　建物計,354796
平成29年度,土地　行政財産,1913272
平成29年度,土地　普通財産,469663
平成29年度,土地　山林,744965
平成29年度,土地　土地計,3127900
平成29年度,建物　木造　行政財産,15646
平成29年度,建物　木造　普通財産,2011
平成29年度,建物　木造　木造計,17657
平成29年度,建物　非木造　行政財産,328582
平成29年度,建物　非木造　普通財産,8483
平成29年度,建物　非木造　非木造計,337065
平成29年度,建物　建物計,354722
