https://schema.org/name,https://schema.org/address,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://schema.org/category,https://schema.org/Season,https://schema.org/description,https://schema.org/url,https://code4fukui.github.io/rdf/#echizen_city_area
正覚寺,越前市京町2丁目1-8,35.902759,136.163536,神社・仏閣,,山号(太西山)南北朝期に越前守護斯波高経がここに新善光寺城を築き、1338年新田義貞に攻められ消失した。その城跡に1366年、良如が乱で戦死した数千人の霊を弔うため浄土宗の寺院を建立した。また、ここの山門は江戸時代の本多家の居城・府中城の表門を移築したもの。　駐車場：有（20台）　アクセス：JR武生駅から徒歩10分　電話番号：0778-22-1319,,西
龍泉寺,越前市深草1丁目10-3,35.903651,136.160284,神社・仏閣,,応安元年（1367）に通幻寂霊によって開かれた寺。府中領主であった本多家の菩提寺であり、初代富正をはじめ代々の当主の巨大な五輪塔の墓がある。富正は徳川家康の信任が厚く、家康、秀忠と家康の次男結城秀康の彫刻などの指定文化財もある。　駐車場：有（100台）　アクセス：JR武生駅から徒歩15分　電話番号：0778-22-4586,,西
千代鶴神社,越前市京町2丁目4,35.902892,136.161564,神社・仏閣,,およそ700年前に京都の刀匠「千代鶴国安」が当地に移り住み、刀を打つかたわら鎌の改良に努めて越前打刃物の基礎を築いた。また、千代鶴の池は国安が刀を打つ水を汲んだと伝えられている井戸。刀を一本仕上げるごとに武運長久を祈って、石の狛犬を作り、この池に沈めたと伝えられている。拝観は自由（外観のみ）　駐車場：無　アクセス：JR武生駅から徒歩約13分,,西
引接寺,越前市京町3丁目3-5,35.904214,136.161848,神社・仏閣,,山号(摂取山)長享２年（1488）に建立された天台宗真盛派別格本山。広大な敷地の中に九つの塔頭を有する武生の代表的な寺の一つ。総欅造りの山門（四脚門）がみごとで、十六羅漢や滝登りする鯉、威厳ある獅子等、勢いのある彫刻が施されている。（国の登録文化財）境内には、明治32年に建築された福井警察部庁舎を移築改修された丈生幼稚園がある。　駐車場：有（50台）　アクセス：JR武生駅から徒歩7分,,西
国分寺,越前市京町1丁目6-2,35.903968,136.164544,神社・仏閣,,山号(護国山)　天台宗天平11年（739）に出された聖武天皇の詔勅によって、国府があった武生にも国分寺が建てられたが、当時は広大な敷地をもつ立派な建物だったのではと考えられている。２月３日には節分会豆まきが盛大に行われている。大虫廃寺跡を国分寺跡とする説もある。　駐車場：有（15台）　アクセス：JR武生駅から徒歩8分　電話番号：0778-22-3088,,西
御霊神社,越前市本多1丁目3-1,35.904924,136.163089,神社・仏閣,,地元では「ごりょうさん」と呼ばれ親しまれている。祭神は桓武天皇の皇子、崇道天皇（早良親王）。政争に巻きこまれ、いわれなく死に追いやられた早良親王のたたりをおそれ霊を鎮めるために、全国の国司に御霊神社の建立の詔勅が出された。総社、国分寺と同じように御霊神社があるのは、その地に国府があった証拠だといわれている。拝観は自由（外観のみ）　駐車場：無　アクセス：福井鉄道北府駅から徒歩12分,,西
金剛院,越前市深草2丁目2-37,35.905623,136.160707,神社・仏閣,,"山号(彗日山)　曹洞宗永享5年（1433）に開かれ安泰寺と称しましたが、天正年間に焼失し、後に領主青木紀伊守により再建された。慶長15年（1610）の府中領主・本多富正により青木氏の城跡の現在地に移されたという。また、毎年7月15日に行われる「みたま祭り」では、6,000本のろうそくの灯りの中、僧侶が経を読みながら歩き、幽玄な雰囲気が漂う。　駐車場：有（50～60台）　アクセス：JR武生駅から車で5分",,西
藤垣神社,越前市本多3丁目3-3,35.907387,136.162956,神社・仏閣,,江戸時代の府中（武生）領主本多家の初代本多富正を祀った神社。本多富正は、都市整備や産業の保護奨励のほかにも、京都よりそばきりの職人を連れてきて、「越前おろしそば」誕生のきっかけを作った人物でもある。神社には富正ゆかりの文化財が残されている。　駐車場：有　アクセス：福井鉄道北府駅から徒歩7分　電話番号：0778-22-3106,,東
本興寺,越前市国府1丁目4-13,35.905286,136.166703,神社・仏閣,,国分寺の北東にあり、境内に５つの塔頭を有している大きなお寺。また、本興寺は越前国府跡ではないかという説もある。　駐車場：有（10台）　アクセス：JR武生駅から徒歩7分　電話番号：0778-22-2107,,東
総社大神宮,越前市京町1丁目4-35,35.903316,136.164164,神社・仏閣,,総社大神宮は国司の巡拝、奉幣のために国内に祀られている神々を一社にまとめて祀るために創建された神社。この神社の存在が国府であったことを示す根拠の一つともなっている。戦国時代には前田利家により府中城が拡張されたときに、現在地に移されたといわれている。大正15年（1926）に竣工した本殿は流れ造り、拝殿は入母屋造りのいずれも鋼板葺きで、国府の社の風格が感じられる。市民から「おそんじゃさん」と呼ばれ親しまれている。　駐車場：有（境内）　アクセス：JR武生駅から徒歩8分　ホームページ：http://osonjasan.jp,,西
蔵の辻,越前市蓬莱町,35.902259,136.165939,街並み・旧街道,,総社大神宮斜め向かいに白壁の蔵が建ち並ぶおしゃれな一角。この地区では江戸時代以降関西から北陸方面への物資の中継基地として栄えており、それぞれ商人たちの蔵が並んでいた。今は整備され、市街地の新名所となっている。　駐車場：無（まちなか駐車場をご利用下さい）　アクセス：JR武生駅から徒歩7分,,東
陽願寺,越前市本町3-10,35.899707,136.164383,神社・仏閣,,浄土真宗本願寺派の寺院で善鎮によって建立された。寺号は蓮如が命名し、現在の本堂は嘉永の武生大火で焼失後、安政３年（1856）に再建されたといわれている。　駐車場：有（20台）　アクセス：JR武生駅から徒歩12分　電話番号：0778-22-0981,,西
妙高寺,越前市本町9-12,35.897993,136.16493,神社・仏閣,,創建は嘉吉3年（1443）で、開祖は、「立正治国論」を時の幕府に建白したことで有名な日蓮宗の僧、日親上人。桑野屋源左ヱ門が日親に深く帰依して、創建は嘉吉3年（1443）で、妙高寺を建立したといいわれているが、福井藩の両替業務に携わった桑野屋の次男、日栄が開祖であったようだ。　駐車場：有（2台）　アクセス：JR武生駅から徒歩14分　電話番号：0778-22-4059,,西
円宮寺,越前市あおば町2-41,35.897249,136.167004,神社・仏閣,,千年の歴史をもつ古い寺で、元は天台宗の寺だったが浄土真宗に改宗した。戦国時代に一向一揆の武生の大将として織田信長と戦ったが敗れた。真宗大谷派では毎年、蓮如上人の絵像を輿車に納めて、京都の東本願寺と福井県あわら市の吉崎御坊の間を徒歩で往復する行事が行われるが、吉崎から京都に向かう5月3日には円宮寺に一泊する。境内には珍しい三葉の松の大木がある。　駐車場：有（50台）　アクセス：JR武生駅から徒歩12分,,南
経王寺,越前市元町2-13,35.901095,136.16455,神社・仏閣,,慶長元年（1596）に、加賀初代藩主前田利家の側室寿福院千世（三代利常の母）の兄日淳が、一乗谷より現在地に移し再建した。元徳元年（1711）に描かれた「正徳元年府中図」（338×190センチメートル）は、現存する武生市街図としては最古のもの。　駐車場：有（40台）　アクセス：JR武生駅から徒歩10分　電話番号：0778-22-3912,,西
卍が辻,越前市本町,35.899083,136.165694,街並み・旧街道,,龍門寺近くの旧街道に広さ約15メートル四方の広場。戦国時代、織田信長が龍門寺に二度陣を構えたときに、信長の部将が駆り集めて雇った足軽などの人数を数える為に、辻いっぱいに雇兵を入れ、いっぱいになれば出口から出して、人数を数えるための、いわゆる「人枡」として造ったものだと言われている。2009年4月にポケットスペースが完成。ゆっくりと休憩しながら戦国の世に思いを馳せてみてはいかがでしょうか。　駐車場：有（3台）　アクセス：JR武生駅から徒歩12分,,西
真照寺,越前市武生柳町1-14,35.897638,136.165646,神社・仏閣,,山号（雲珍山）　天台真盛宗のお寺で、大永５年道竹に帰依した朝倉孝景により一乗谷に建立されたが、朝倉氏滅亡後、この地に移ったとされている。木造阿弥陀如来坐像は 越前市の指定文化財。昔の風俗画を見る事ができる。　駐車場：有（1台）　アクセス：JR武生駅から徒歩13分　電話番号：0778-23-8153,,南
久成寺,越前市平和町2-5,35.899861,136.162612,神社・仏閣,,天文15年（1546）、呉服商として名を馳せた小袖屋山本次郎右衛門久成が、一族の菩提寺として建てた寺。境内は庭園風のしつらえで、寺らしくない雰囲気。本堂入り口の柱の上部に辺りをにらむ眼光鋭いみごとな龍が彫られている。　アクセス：JR武生駅から徒歩12分　電話番号：0778-24-3991,,西
