https://code4fukui.github.io/rdf/#echizen_city_area,https://code4fukui.github.io/rdf/#number_of_households,https://code4fukui.github.io/rdf/#population
越前市,30829,82363
東地区,2296,5098
府中一丁目,68,140
府中二丁目,94,184
府中三丁目,160,318
吾妻町,86,198
住吉町,88,203
堀川町,236,434
錦町,68,147
万代町,111,219
天王町,56,114
蓬莱町,86,201
幸町,108,270
国府一丁目,99,223
国府二丁目,150,364
北府一丁目,0,0
北府二丁目,171,424
北府三丁目,297,696
北府四丁目,160,392
桂町,71,179
本多二丁目,126,272
本多三丁目,61,120
北府本町,0,0
西 地区,3441,7863
本町,82,208
元町,94,244
京町一丁目,72,191
京町二丁目,59,119
京町三丁目,59,161
本多一丁目,100,224
平和町,159,371
若松町,101,228
高瀬一丁目,319,757
高瀬二丁目,59,124
中央一丁目,77,169
中央二丁目,108,280
深草一丁目,172,356
深草二丁目,104,240
平出一丁目,87,231
平出二丁目,291,730
平出三丁目,171,445
小松一丁目,76,208
小松二丁目,250,625
日野美一丁目,11,23
日野美二丁目,103,150
野上町,167,410
新町,64,141
北千福町,270,463
小松町,0,0
沢町,386,765
南 地区,3918,9662
南一丁目,115,267
南二丁目,168,428
南三丁目,91,214
武生柳町,140,353
若竹町,127,305
あおば町,76,204
神明町,85,216
豊町,85,205
姫川一丁目,74,200
姫川二丁目,175,482
文京一丁目,174,468
文京二丁目,218,589
御幸町,182,404
東千福町,289,719
行松町,268,604
妙法寺町,175,449
松森町,237,577
月見町,119,328
畷町,73,210
常久町,99,285
常久団地,18,53
学園団地,217,628
三ツ口町,149,295
千福町,564,1179
神山 地区,1190,3347
岡本町,162,356
広瀬町,619,1733
池の上町,198,647
広瀬ひばりが丘,102,264
向が丘町,84,261
新小野,25,86
吉野 地区,2994,8101
本保町,453,1165
片屋町,222,672
氷坂町,181,503
余田町,119,417
家久町,978,2640
芝原町,0,0
芝原一丁目,253,580
芝原二丁目,96,250
芝原三丁目,62,134
芝原四丁目,128,282
芝原五丁目,502,1458
国高 地区,4300,11415
村国一丁目,170,452
村国二丁目,338,922
村国三丁目,631,1628
村国四丁目,115,368
八幡一丁目,163,474
八幡二丁目,89,242
押田一丁目,241,635
押田二丁目,40,99
国高一丁目,169,433
国高二丁目,315,843
国高三丁目,221,430
横市町,310,752
庄町,72,177
塚町,194,581
馬上免町,89,180
稲寄町,308,963
瓜生町,558,1395
高木町,192,537
村国町,0,0
長土呂町,85,304
押田町,0,0
大虫 地区,2228,5963
大虫町,255,742
大虫本町,125,408
上四目町,58,167
下四目町,129,398
高森町,188,548
丹生郷町,186,601
三ツ俣町,32,115
横根町,53,145
北山町,183,554
上太田町,524,1121
下太田町,267,623
新保町,164,386
新保一丁目,45,97
新保二丁目,9,20
大虫本町勝蓮花,10,38
坂口 地区,137,406
湯谷町,22,60
中山町,19,52
下別所町,3,9
勾当原町,31,102
中津原町,34,110
下中津原町,28,73
王子保 地区,2101,5747
四郎丸町,684,1962
塚原町,138,384
白崎町,218,471
春日野町,49,143
今宿町,147,367
国兼町,79,268
大塩町,125,341
上小松町,14,36
森久町,16,53
瓜生野町,4,5
中平吹町,172,512
下平吹町,84,229
富士見が丘一,146,367
富士見が丘二,84,233
向陽町,141,376
北新庄 地区,845,2761
北町,367,1163
杉崎町,50,178
真柄町,50,171
戸谷町,116,371
長尾町,57,166
中新庄町,126,443
三ツ屋町,79,269
北日野 地区,1554,4395
矢放町,219,592
帆山町,210,604
矢船町,170,395
向新保町,75,255
畑町,21,87
小野谷町,113,338
西谷町,67,124
荒谷町,12,38
平林町,65,231
庄田町,107,297
大手町,24,75
西尾町,175,540
岩内町,54,177
大屋町,71,215
葛岡町,47,112
問屋町,0,0
北日野団地,124,315
味真野 地区,1568,4609
入谷町,32,92
中居町,47,136
蓑脇町,44,116
桧尾谷町,24,95
余川町,99,307
池泉町,188,600
文室町,79,229
萱谷町,113,196
上大坪町,132,408
味真野町,121,352
南小山町,23,66
北小山町,31,84
吉村町,29,78
若宮町,19,68
五分市町,245,745
清水頭町,34,96
上真柄町,23,74
徳間町,30,94
金屋町,0,0
宮谷町,115,346
奥宮谷町,79,259
上真柄宮谷入会,14,45
味真野団地,47,123
白山 地区,534,1573
都辺町,15,50
上杉本町,3,4
二階堂町,12,36
千合谷町,20,61
菖蒲谷町,26,76
堀町,31,89
土山町,7,20
小谷町,7,25
安戸町,4,10
菅町,0,0
米口町,19,68
仏谷町,2,5
丸岡町,44,124
沓掛町,20,56
勝蓮花町,0,0
小野町,2,7
上黒川町,33,95
下黒川町,41,94
安養寺町,155,462
曽原町,18,63
粟野町,3,12
小杉町,18,49
牧町,11,26
若須町,6,18
中野町,21,65
萩原町,4,12
鴉ヶ平町,12,46
粟田部地区,1199,3488
西樫尾町,91,300
粟田部町西山,199,595
粟田部町栄,164,463
粟田部町宝栄,104,305
粟田部町蓬莱,113,319
粟田部町富永,157,440
粟田部町鞍谷,250,713
粟田部町旭,121,353
岡本地区,983,3081
不老町,146,521
大滝町,138,411
岩本町,234,735
新在家町,106,317
定友町,153,472
杉尾町,55,173
轟井町,43,142
島町,17,55
長五町,10,36
大平町,9,24
八石町,13,30
中印町,13,36
別印町,27,79
南坂下町,19,50
南中山地区,937,3065
野岡町,178,578
マインドタウン,37,117
山室町,94,314
富士見台,0,0
下戸板,5,12
東庄境町,115,369
西庄境町,94,293
赤坂町,108,313
新堂町,65,233
国中町,64,250
中津山町,135,434
仲山,42,152
服間地区,604,1789
朽飯町,107,342
高岡町,20,72
藤木町,30,100
領家町,30,80
春山町,24,84
東樫尾町,50,100
波垣町,23,70
寺地町,35,87
横住町,67,208
清根町,7,19
相木町,17,57
西河内町,13,31
室谷町,26,81
長谷町,25,69
北坂下町,17,73
殿町,5,14
大谷町,8,28
南中町,12,41
赤谷町,25,64
水間町,15,45
柳元町,22,66
