https://schema.org/name,https://schema.org/description,https://schema.org/address,https://schema.org/telephone,https://schema.org/url,https://schema.org/email,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://schema.org/Map,https://schema.org/color
体育館,走路近隣で利用可能なトイレです。受付,高瀬二丁目8-23,,,,35.899609,136.155752,菊花マラソンマップ,ピンク色
武道館,走路近隣で利用可能なトイレです。,中央一丁目8-15,,,,35.900781,136.156547,菊花マラソンマップ,ピンク色
武生西小学校 屋外,走路近隣で利用可能なトイレです。スタート地点,中央二丁目2-13,,,,35.901833,136.158056,菊花マラソンマップ,ピンク色
武生西小学校 校舎内,走路近隣で利用可能なトイレです。土足禁止,中央二丁目2-13,,,,35.902172,136.157987,菊花マラソンマップ,ピンク色
武生第三中学校,走路近隣で利用可能なトイレです。ゴール地点,村国二丁目3-56,,,,35.905682,136.175178,菊花マラソンマップ,ピンク色
菊人形会場 正面入口,走路近隣で利用可能なトイレです。,高瀬二丁目,,,,35.900181,136.158097,菊花マラソンマップ,ピンク色
菊人形会場 見流し館前,走路近隣で利用可能なトイレです。,高瀬二丁目,,,,35.899345,136.157346,菊花マラソンマップ,ピンク色
菊人形会場 テニスコート横,走路近隣で利用可能なトイレです。,高瀬二丁目,,,,35.898387,136.157578,菊花マラソンマップ,ピンク色
菊人形会場 図書館前,走路近隣で利用可能なトイレです。,高瀬二丁目,,,,35.898669,136.159636,菊花マラソンマップ,ピンク色
庭球場クラブハウス,走路近隣で利用可能なトイレです。,高瀬二丁目7-81,,,,35.898295,136.156589,菊花マラソンマップ,ピンク色
蓬莱町,走路近隣で利用可能なトイレです。まちなか公衆トイレ,越前市蓬莱町6-16,,,,35.901783,136.166733,菊花マラソンマップ,ピンク色
日野川西岸堤防,走路近隣で利用可能なトイレです。公衆トイレ,堀川町4,,,,35.89931,136.172987,菊花マラソンマップ,ピンク色
日野川東岸堤防,走路近隣で利用可能なトイレです。公衆トイレ,村国一丁目,,,,35.898486,136.175748,菊花マラソンマップ,ピンク色
帆山公園,走路近隣で利用可能なトイレです。,帆山町,,,,35.895205,136.178279,菊花マラソンマップ,ピンク色
サニーワークホーム,走路近隣で利用可能なトイレです。土足禁止,庄田町25-4-3,,,,35.888909,136.204678,菊花マラソンマップ,ピンク色
武生東運動公園 1,走路近隣で利用可能なトイレです。,宮谷町,,,,35.891975,136.22049,菊花マラソンマップ,ピンク色
