https://code4fukui.github.io/rdf/#age,https://schema.org/gender,https://code4fukui.github.io/rdf/#population
0,男,313
0,女,278
1,男,321
1,女,324
2,男,325
2,女,302
3,男,330
3,女,316
4,男,355
4,女,302
5,男,377
5,女,320
6,男,356
6,女,318
7,男,331
7,女,348
8,男,369
8,女,323
9,男,356
9,女,335
10,男,391
10,女,349
11,男,403
11,女,351
12,男,387
12,女,382
13,男,397
13,女,395
14,男,413
14,女,362
15,男,410
15,女,375
16,男,428
16,女,398
17,男,411
17,女,415
18,男,404
18,女,406
19,男,436
19,女,419
20,男,452
20,女,407
21,男,424
21,女,435
22,男,438
22,女,360
23,男,440
23,女,391
24,男,460
24,女,455
25,男,483
25,女,396
26,男,454
26,女,430
27,男,434
27,女,399
28,男,484
28,女,443
29,男,447
29,女,424
30,男,448
30,女,428
31,男,489
31,女,442
32,男,443
32,女,443
33,男,467
33,女,438
34,男,484
34,女,440
35,男,454
35,女,439
36,男,492
36,女,442
37,男,453
37,女,443
38,男,449
38,女,442
39,男,522
39,女,448
40,男,527
40,女,516
41,男,559
41,女,489
42,男,564
42,女,560
43,男,613
43,女,556
44,男,625
44,女,527
45,男,640
45,女,572
46,男,671
46,女,585
47,男,621
47,女,565
48,男,563
48,女,549
49,男,553
49,女,549
50,男,512
50,女,526
51,男,566
51,女,548
52,男,568
52,女,536
53,男,482
53,女,405
54,男,466
54,女,481
55,男,518
55,女,500
56,男,459
56,女,499
57,男,476
57,女,488
58,男,466
58,女,430
59,男,470
59,女,484
60,男,494
60,女,547
61,男,568
61,女,504
62,男,477
62,女,492
63,男,452
63,女,472
64,男,530
64,女,525
65,男,468
65,女,492
66,男,474
66,女,545
67,男,549
67,女,582
68,男,585
68,女,619
69,男,616
69,女,655
70,男,665
70,女,741
71,男,704
71,女,763
72,男,682
72,女,664
73,男,415
73,女,473
74,男,301
74,女,293
75,男,409
75,女,461
76,男,393
76,女,489
77,男,460
77,女,547
78,男,438
78,女,515
79,男,374
79,女,406
80,男,322
80,女,371
81,男,246
81,女,344
82,男,293
82,女,468
83,男,276
83,女,391
84,男,278
84,女,433
85,男,206
85,女,346
86,男,207
86,女,376
87,男,206
87,女,339
88,男,160
88,女,317
89,男,144
89,女,308
90,男,133
90,女,256
91,男,110
91,女,242
92,男,70
92,女,213
93,男,74
93,女,152
94,男,56
94,女,133
95,男,20
95,女,136
96,男,16
96,女,84
97,男,12
97,女,58
98,男,8
98,女,41
99,男,8
99,女,31
100以上,男,13
100以上,女,50
