https://schema.org/City,https://schema.org/gender,https://code4fukui.github.io/rdf/#population
越前市,男総数,39725
越前市,女総数,41263
越前市,男(0～14歳),5493
越前市,女(0～14歳),5090
越前市,男(15～64歳),23659
越前市,女(15～64歳),22917
越前市,男(65～74歳),5526
越前市,女(65～74歳),5816
越前市,男(75歳以上),4676
越前市,女(75歳以上),7206
鯖江市,男総数,33212
鯖江市,女総数,35282
鯖江市,男(0～14歳),5099
鯖江市,女(0～14歳),4862
鯖江市,男(15～64歳),19921
鯖江市,女(15～64歳),19875
鯖江市,男(65～74歳),4463
鯖江市,女(65～74歳),4829
鯖江市,男(75歳以上),3604
鯖江市,女(75歳以上),5619
越前町,男総数,10035
越前町,女総数,10836
越前町,男(0～14歳),1298
越前町,女(0～14歳),1257
越前町,男(15～64歳),5719
越前町,女(15～64歳),5635
越前町,男(65～74歳),1662
越前町,女(65～74歳),1611
越前町,男(75歳以上),1350
越前町,女(75歳以上),2331
南越前町,男総数,5031
南越前町,女総数,5460
南越前町,男(0～14歳),683
南越前町,女(0～14歳),595
南越前町,男(15～64歳),2812
南越前町,女(15～64歳),2717
南越前町,男(65～74歳),803
南越前町,女(65～74歳),791
南越前町,男(75歳以上),733
南越前町,女(75歳以上),1357
