category,title,description,url,text,Date,name,attribution_name
土地・気象,越前市公開型ＧＩＳレイヤのShapeファイル,越前市公開型ＧＩＳ（越前市ぐるぐるマップ） のレイヤ情報のうち、Shapeファイルで公開しているレイヤ一覧です。,https://www.city.echizen.lg.jp/office/030/021/shape.html,「越前市の公開型ＧＩＳのShapefileとkmlfileについて」,2018/3/30,gisshapefile.csv,デジタル政策課
土地・気象,越前市公開型ＧＩＳレイヤのkmlファイル,越前市公開型ＧＩＳ（越前市ぐるぐるマップ） のレイヤ情報のうち、kmlファイルで公開しているレイヤ一覧です。,https://www.city.echizen.lg.jp/office/030/021/shape.html,「越前市の公開型ＧＩＳのShapefileとkmlfileについて」,2018/3/30,kmlfile.csv,デジタル政策課
産業・経済,労働者福祉施設,労働者福祉施設の情報です。,https://www.city.echizen.lg.jp/office/060/010/sisetuannai.html,「労働者福祉施設（研修施設）のご案内」,2023/7/14,roudousyafukushishisetsu.csv,産業政策課
農業・林業,越前市地産地消推進の店,越前市が認定している地産地消推進の店の情報です。,https://www.city.echizen.lg.jp/office/kankyounourin/020/tisann_syokuiku.html,「越前市の食育・地産地消の推進について」,2023/7/14,chisanchisyounomise.csv,農政課
農業・林業,野菜の直売所,越前市内の野菜の直売所の情報です。,https://www.city.echizen.lg.jp/office/kankyounourin/020/syoku/syokuiku2.html,「越前市の食育・地産地消の推進について」,2023/7/14,cyokubaisyo.csv,農政課
交通・観光・通信,越前市観光情報,越前市内の観光情報（施設・グルメ等）です。,https://www.city.echizen.lg.jp/office/060/050/index.html,「観光案内に関すること」,2023/7/14,landscape.csv,観光誘客課
交通・観光・通信,越前市のフリースポット,越前市が管理するフリースポットの情報です。,https://www.city.echizen.lg.jp/office/030/021/freespot.html,「越前市公衆無線LAN「フリースポット」」,2023/7/14,freespot.csv,デジタル政策課
建設・住宅,市営住宅一覧,越前市内の市営住宅の一覧です。,https://www.city.echizen.lg.jp/office/070/040/sieijutaku/sieijutakuannai.html,「市営住宅のご案内」,2023/7/14,sieizyuutaku.csv,建築住宅課
厚生・社会福祉,介護保険料,令和5年度の介護保険料の保険料区分の情報です。,https://www.city.echizen.lg.jp/office/050/060/hokenryo.html,「介護保険料」,2023/7/14,kaigohokenryo.csv,長寿福祉課
厚生・社会福祉,市内のお医者さん,市内にある医療機関の情報です。,https://www.city.echizen.lg.jp/office/050/020/kateijidousoudan/kosodateouenshi.html,「子育て応援誌」,2023/7/14,iryoukikan.csv,健康増進課
厚生・社会福祉,市内AED設置施設,市内の公共施設等に設置されたAED（自動体外式除細動器）の情報です。,https://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,「AED（自動体外式除細動器）設置について」,2023/7/14,AED.csv,健康増進課
厚生・社会福祉,市内AED設置施設（ポルトガル語）,市内の公共施設等に設置されたAED（自動体外式除細動器）の情報（ポルトガル語）です。,https://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,「AED（自動体外式除細動器）設置について」,2023/7/14,AEDpt.csv,健康増進課
厚生・社会福祉,健康応援団,「けんこう食メニューの店」「けんこう応援の店」「けんこうステーション」の３つからなる健康応援団の情報です。,https://www.city.echizen.lg.jp/office/050/030/kenkou21/kenkou_ouendan.html,「健康応援団について」,2023/7/14,kenkououendan.csv,健康増進課
厚生・社会福祉,越前市の保育園,越前市の保育園一覧です。,https://www.city.echizen.lg.jp/office/050/020/hoikuenichiran.html,「認定こども園・保育園一覧」,2023/7/14,hoikuen.csv,こども家庭課
厚生・社会福祉,子育て支援施設,子育て支援施設の情報です。,https://www.city.echizen.lg.jp/office/050/020/kateijidousoudan/kosodateouenshi.html,「子育て応援誌」,2023/7/14,kodomofukushi1.csv,こども家庭課
保健・衛生・環境,越前市町別ごみ収集日,町内別の各ごみ収集日一覧です。,https://www.city.echizen.lg.jp/office/kankyounourin/051/gomirecycle/dasikata-wakekata.html,「ごみの分け方・出し方」,2015/4/20,gomisyusyubi.csv,環境政策課
保健・衛生・環境,越前市町別ごみ収集日（ポルトガル語）,町内別の各ごみ収集日一覧（ポルトガル語）です。,https://www.city.echizen.lg.jp/office/kankyounourin/051/gomirecycle/dasikata-wakekata.html,「ごみの分け方・出し方」,2015/4/20,gomisyusyubipt.csv,環境政策課
保健・衛生・環境,越前市50音別ごみ分別表,50音別で表記したごみ分別の情報です。,https://www.city.echizen.lg.jp/office/kankyounourin/051/gomirecycle/dasikata-wakekata.html,「ごみの分け方・出し方」,2023/7/14,gomijp.csv,環境政策課
保健・衛生・環境,越前市50音別ごみ分別表（ポルトガル語）,50音別で表記したごみ分別の情報（ポルトガル語）です。,https://www.city.echizen.lg.jp/office/kankyounourin/051/gomirecycle/dasikata-wakekata.html,「ごみの分け方・出し方」,2021/1/4,gomipt.csv,環境政策課
保健・衛生・環境,越前市50音別ごみ分別表（中国語）,50音別で表記したごみ分別の情報（中国語）です。,https://www.city.echizen.lg.jp/office/kankyounourin/051/gomirecycle/dasikata-wakekata.html,「ごみの分け方・出し方」,2021/1/4,gomicn.csv,環境政策課
