https://schema.org/Occupation,https://code4fukui.github.io/rdf/#headcount,https://code4fukui.github.io/rdf/#composition_ratio,https://schema.org/category
総数（就業人口）,41875,100,
農業、林業,1177,2.810746269,第1次産業
漁業,8,0.019104478,第1次産業
鉱業、採石業、砂利採取業,15,0.035820896,第2次産業
建設業,3274,7.818507463,第2次産業
製造業,14700,35.10447761,第2次産業
電気･ガス･熱供給･水道業,161,0.384477612,第3次産業
情報通信業,374,0.893134328,第3次産業
運輸業、郵便業,1572,3.754029851,第3次産業
卸売・小売業,6402,15.28835821,第3次産業
金融・保険業,802,1.915223881,第3次産業
不動産業、物品賃貸業,285,0.680597015,第3次産業
学術研究、専門・技術サービス業,900,2.149253731,第3次産業
宿泊業、飲食サービス業,1710,4.08358209,第3次産業
生活関連サービス業、娯楽業,1248,2.980298507,第3次産業
教育、学習支援業,1600,3.820895522,第3次産業
医療、福祉,4054,9.68119403,第3次産業
複合サービス事業,353,0.842985075,第3次産業
サービス業  （他に分類されないもの）,1678,4.007164179,第3次産業
公務  （他に分類されないものを除く）,1128,2.693731343,第3次産業
