https://schema.org/name,https://schema.org/category,https://code4fukui.github.io/rdf/#population
越前市,出生合計,624
越前市,出生　男,321
越前市,出生　女,303
越前市,死亡合計,954
越前市,死亡　男,483
越前市,死亡　女,471
越前市,転入合計,3083
越前市,転入　男,1661
越前市,転入　女,1422
越前市,転出合計,2629
越前市,転出　男,1368
越前市,転出　女,1261
鯖江市,出生合計,534
鯖江市,出生　男,280
鯖江市,出生　女,254
鯖江市,死亡合計,681
鯖江市,死亡　男,364
鯖江市,死亡　女,317
鯖江市,転入合計,1978
鯖江市,転入　男,1017
鯖江市,転入　女,961
鯖江市,転出合計,1771
鯖江市,転出　男,902
鯖江市,転出　女,869
越前町,出生合計,115
越前町,出生　男,58
越前町,出生　女,57
越前町,死亡合計,320
越前町,死亡　男,153
越前町,死亡　女,167
越前町,転入合計,370
越前町,転入　男,194
越前町,転入　女,176
越前町,転出合計,576
越前町,転出　男,2733
越前町,転出　女,303
南越前町,出生合計,60
南越前町,出生　男,25
南越前町,出生　女,35
南越前町,死亡合計,185
南越前町,死亡　男,85
南越前町,死亡　女,100
南越前町,転入合計,208
南越前町,転入　男,99
南越前町,転入　女,109
南越前町,転出合計,231
南越前町,転出　男,110
南越前町,転出　女,121
