https://schema.org/name,https://schema.org/address,https://schema.org/telephone,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area
（株）斧平作商店,越前市錦町2-35,24-0419,35.901816,136.172022,東
大道設備（有）,越前市北府三丁目12-60,22-3226,35.914022,136.165763,東
（株）テクノ永谷,越前市国府二丁目12-7,24-1868,35.907856,136.166469,東
（株）板倉設備,越前市小松一丁目8-35,22-3980,35.905317,136.155384,西
田中管工設備（株）,越前市平出二丁目3-22,22-1727,35.91037,136.159886,西
双葉燃工,越前市北千福町69,23-1139,35.899451,136.151521,西
上野ガス（株）,越前市行松町16-21,24-1555,35.880523,136.163028,南
（有）嶋谷設備工事,越前市姫川一丁目9-4,22-1442,35.889781,136.168172,南
（株）タケフ営繕,越前市千福町207番地,24-2273,35.889861,136.152854,南
（有）水上設備工業,越前市姫川二丁目9-37,22-6890,35.894325,136.169316,南
（株）武生環境保全,越前市家久町2-45-1,22-1044,35.934595,136.173259,吉野
テラオライテック（株）,越前市本保町8-5-1,22-5215,35.930945,136.157152,吉野
和幸建設（株）,越前市芝原三丁目5-35,23-7501,35.91806,136.157425,吉野
（株）Eうの,越前市押田二丁目9-2,21-3800,35.90784,136.189242,国高
（株）イガラシ,越前市村国二丁目6-2,24-2040,35.907807,136.176713,国高
上木建設（株）,越前市横市町27-8,22-6666,35.907838,136.190386,国高
（株）ウエダ設備,越前市庄町37-1-1,24-1760,35.902397,136.20029,国高
宇野電機（株）,越前市村国一丁目2-7,22-1398,35.903241,136.176463,国高
越前管工事業協同組合,越前市横市町21-7-1,22-3600,35.908418,136.198696,国高
正光設備（株）,越前市押田一丁目3-8,23-1248,35.907821,136.186395,国高
大和建設（株）,越前市村国二丁目13-12,22-0168,35.904965,136.177226,国高
山清建設（株）,越前市稲寄町5-3-1,23-3510,35.918408,136.180556,国高
山本設備,越前市八幡二丁目97-39,23-3005,35.914892,136.17699,国高
北信建設（㈱）,越前市村国二丁目1-11,22-1305,35.903754,136.175499,国高
今西総合建設,越前市新保町2-7-1,22-6379,35.917038,136.155953,大虫
児玉管工社,越前市下太田町21-8-13,22-3703,35.907986,136.149262,大虫
下村水道（株）,越前市上太田町50-5-6,23-7800,35.90204,136.14703,大虫
前田水道（有）,越前市下四目町7-13,22-3555,35.904764,136.139272,大虫
うくま設備,越前市中新庄町53-33-1,23-5482,35.922681,136.213108,北新庄
関本電設（株）,越前市北町22-6,27-2624,35.903939,136.205548,北新庄
アドバンス商事（株）,越前市大屋町48-7-5,24-2344,35.895167,136.190656,北日野
（株）ササキ工業,越前市矢船町1-2-3,24-2582,35.892406,136.173369,北日野
港屋重機建設（株）,越前市岩内町30-2-27,27-2626,35.892101,136.207037,北日野
（株）未來住建,越前市帆山町19-7-3,22-0392,35.891464,136.177021,北日野
（株）アルネット企画,越前市宮谷町47-6-6,27-8538,35.890279,136.22146,味真野
（株）エム開発,越前市安養寺町141-16-5,29-2011,35.91535,136.072292,白山
（株）アカホリ管工,越前市粟田部町36-1-6,43-1360,35.916321,136.245385,粟田部
（有）宇野金物店,越前市粟田部町31-26,42-0247,35.915602,136.241341,粟田部
（株）関組,越前市粟田部町6-26,43-1133,35.920673,136.242529,粟田部
（株）山岡組,越前市粟田部町16-10,42-0348,35.918301,136.239344,粟田部
姉川設備機工（株）,越前市岩本町11-19,42-0686,35.908316,136.245715,岡本
今立管工（株）,越前市定友町10-26-1,43-1259,35.91546,136.24456,岡本
加藤設備商会,越前市新在家町6-42,42-1351,35.912863,136.244368,岡本
クニ設備,越前市定友町4-4,42-2027,35.913496,136.246846,岡本
（株）赤堀,越前市野岡町5-9,43-1188,35.923612,136.246118,南中山
（株）奥村組,越前市山室町13-8-1,43-0551,35.931442,136.255408,南中山
（株）木津組,越前市西庄境町14-7-1,42-2955,35.932933,136.247123,南中山
（株）タナカコウ,越前市野岡町24-1-10,43-0390,35.925204,136.248295,南中山
（有）細井設備,越前市東庄境町42-10-4,42-3404,35.93195,136.253447,南中山
（株）梅田土建,越前市横住町8-2-2,43-1247,35.936257,136.297772,服間
