https://schema.org/name,https://schema.org/address,https://schema.org/telephone,https://schema.org/ReserveAction,https://schema.org/description,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area
武生東公民館,府中一丁目13-15,0778-23-4763,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209007,http://www.city.echizen.lg.jp/office/090/050/010/index.html,35.90394,136.16943,東
武生西公民館,中央二丁目5-35,0778-23-4635,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209008,http://www.city.echizen.lg.jp/office/090/050/020/index.html,35.90214,136.15642,西
武生南公民館,武生柳町12-27,0778-23-5103,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209009,http://www.city.echizen.lg.jp/office/090/050/030/index.html,35.89524,136.16406,南
神山公民館,広瀬町102-55-2,0778-23-8010,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209010,http://www.city.echizen.lg.jp/office/090/050/040/index.html,35.88596,136.13558,神山
吉野公民館,本保町19-6,0778-23-4600,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209011,http://www.city.echizen.lg.jp/office/090/050/050/index.html,35.92642,136.15829,吉野
国高公民館,国高二丁目324-13,0778-23-4601,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209012,http://www.city.echizen.lg.jp/office/090/050/060/index.html,35.91133,136.18986,国高
大虫公民館,丹生郷町13-20-1,0778-23-3508,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209013,http://www.city.echizen.lg.jp/office/090/050/070/index.html,35.90764,136.14161,大虫
坂口公民館,湯谷町24-18-1,0778-28-1046,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209014,http://www.city.echizen.lg.jp/office/090/050/080/index.html,35.85979,136.0867,坂口
王子保公民館,四郎丸町65-2-1,0778-23-9666,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209015,http://www.city.echizen.lg.jp/office/090/050/090/index.html,35.86743,136.16889,王子保
北日野公民館,矢放町21-11,0778-23-4604,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209016,http://www.city.echizen.lg.jp/office/090/050/100/index.html,35.88972,136.18875,北日野
