https://schema.org/name,https://schema.org/address,https://schema.org/accommodationCategory,https://schema.org/building_ownership
昭和団地　1号,"越前市中央一丁目3－17,18",長屋建,所有
武生南団地　準耐1～8号,越前市南二丁目3－31～35,長屋建,所有
武生南団地　準耐9～12号,越前市南二丁目5－23～27,長屋建,所有
武生南団地　準耐13～16号,越前市南二丁目4－26～29,長屋建,所有
武生南団地　1号館,越前市南二丁目4－23,共同住宅,所有
武生南団地　2号館,越前市南二丁目3－28,共同住宅,所有
武生南団地　3号館,越前市南二丁目3－22,共同住宅,所有
武生南団地　4号館,越前市南三丁目5－20,共同住宅,所有
春日団地　A棟,越前市若竹町10－6,共同住宅,所有
春日団地　B棟,越前市若竹町10－6,共同住宅,所有
緑団地,越前市平和町7－30,共同住宅,所有
馬塚団地　準耐1～6号,越前市広瀬町161－5－2,長屋建,所有
馬塚団地　準耐7～12号,越前市広瀬町161－5－2,長屋建,所有
馬塚団地　A棟,越前市広瀬町161－5－2,共同住宅,所有
馬塚団地　B棟,越前市広瀬町161－5－2,共同住宅,所有
馬塚団地　C棟,越前市広瀬町161－5－2,共同住宅,所有
芝原団地　1～4号,越前市芝原一丁目27－18～22,長屋建,所有
芝原団地　5～8号,越前市芝原一丁目27－18～22,長屋建,所有
芝原団地　9～12号,越前市芝原一丁目27－25,長屋建,所有
芝原団地　13～16号,越前市芝原一丁目27－25,長屋建,所有
芝原団地　17～22号,越前市芝原一丁目25－20～26,長屋建,所有
芝原団地　23～28号,越前市芝原一丁目25－20～26,長屋建,所有
芝原団地　29～34号,越前市芝原一丁目25－29,長屋建,所有
芝原団地　35～40号,越前市芝原一丁目25－29,長屋建,所有
村国団地,越前市村国一丁目8－24,共同住宅,所有
村国北団地　A棟,越前市村国三丁目44－1,共同住宅,所有
村国北団地　B棟,越前市村国三丁目44－1,共同住宅,所有
村国北団地　C棟,越前市村国三丁目44－1,共同住宅,所有
八王子団地　1～4号,"越前市国高二丁目1,5,6",長屋建,所有
八王子団地　5～8号,"越前市国高二丁目1,5,6",長屋建,所有
八王子団地　9～12号,"越前市国高二丁目1,5,6",長屋建,所有
八王子団地　13～16号,"越前市国高二丁目1,5,6",長屋建,所有
八王子団地　17～20号,"越前市国高二丁目1,5,6",長屋建,所有
八王子団地　21～24号,"越前市国高二丁目4,5",長屋建,所有
八王子団地　25～28号,"越前市国高二丁目4,5",長屋建,所有
八王子団地　29～32号,"越前市国高二丁目4,5",長屋建,所有
八王子団地　33～36号,"越前市国高二丁目2,3",長屋建,所有
八王子団地　37～40号,"越前市国高二丁目2,3",長屋建,所有
馬上免団地　1～4号,越前市馬上免町1－4,長屋建,所有
馬上免団地　5～8号,越前市馬上免町1－4,長屋建,所有
馬上免団地　9～12号,越前市馬上免町1－4,長屋建,所有
馬上免団地　13～16号,越前市馬上免町1－4,長屋建,所有
馬上免団地　21～24号,越前市馬上免町1－4,長屋建,所有
馬上免団地　25～28号,越前市馬上免町1－4,長屋建,所有
馬上免団地　29～32号,越前市馬上免町1－4,長屋建,所有
馬上免団地　33～36号,越前市馬上免町1－4,長屋建,所有
馬上免団地　37～40号,越前市馬上免町1－4,長屋建,所有
馬上免団地　41～46号,越前市馬上免町1－4,長屋建,所有
馬上免団地　47～52号,越前市馬上免町1－4,長屋建,所有
馬上免団地　53～58号,越前市馬上免町1－4,長屋建,所有
上太田団地,越前市上太田町11－2,共同住宅,所有
王子保団地,越前市四郎丸町58－2,共同住宅,所有
北日野団地　1号館,越前市矢放町12－9－3,共同住宅,所有
北日野団地　2号館,越前市矢放町12－9－3,共同住宅,所有
北日野団地　3号館,越前市矢放町12－9－3,共同住宅,所有
武生西団地　7号,越前市中央二丁目4－8,長屋建,所有
藤の木団地　1号館,越前市四郎丸町2－2,共同住宅,所有
藤の木団地　2号館,越前市四郎丸町2－2,共同住宅,所有
藤の木団地　3号館,越前市四郎丸町2－2,共同住宅,所有
藤の木団地　4号館,越前市四郎丸町2－2,共同住宅,所有
家久団地　1号館,越前市家久町803,共同住宅,所有
家久団地　2号館,越前市家久町803,共同住宅,所有
行松団地　1号館,越前市行松町28－3,共同住宅,所有
行松団地　2号館,越前市行松町28－3,共同住宅,所有
行松団地　3号館,越前市行松町28－3,共同住宅,所有
佐山団地　3号,越前市粟田部町4－2－3,一戸建,所有
佐山団地　5号,越前市粟田部町4－2－3,一戸建,所有
佐山団地　8号,越前市粟田部町4－2－3,一戸建,所有
佐山団地　10号,越前市粟田部町4－2－3,一戸建,所有
佐山団地　14号,越前市粟田部町4－2－3,一戸建,所有
佐山団地　16号,越前市粟田部町4－2－3,一戸建,所有
佐山団地　18号,越前市粟田部町4－2－3,一戸建,所有
佐山団地　19号,越前市粟田部町4－2－3,一戸建,所有
佐山団地　20号,越前市粟田部町4－2－3,一戸建,所有
"富永（粟田部）団地　3,4号",越前市粟田部町40－21,長屋建,所有
富永（粟田部）団地　9号,越前市粟田部町40－21,長屋建,所有
富永（粟田部）団地　16号,越前市粟田部町40－21,長屋建,所有
"富永（粟田部）団地　17,18号",越前市粟田部町40－21,長屋建,所有
富永（粟田部）団地　19号,越前市粟田部町40－21,長屋建,所有
"新在家団地　1,2号",越前市新在家町2－26－1,長屋建,所有
新在家団地　4号,越前市新在家町2－26－1,長屋建,所有
粟田部東（東）団地　8号,越前市粟田部町11－8－1,長屋建,所有
粟田部東（今立）団地　2号,越前市粟田部町11－8－1,長屋建,所有
粟田部中央団地　1～5号,越前市粟田部町中央一丁目805,長屋建,所有
粟田部中央団地　6～10号,越前市粟田部町中央一丁目805,長屋建,所有
粟田部中央団地　11～15号,越前市粟田部町中央一丁目805,長屋建,所有
粟田部中央団地　16～20号,越前市粟田部町中央一丁目805,長屋建,所有
朽飯団地　A棟,越前市朽飯町15－19－1,長屋建,所有
朽飯団地　B棟,越前市朽飯町15－19－1,長屋建,所有
朽飯団地　C棟,越前市朽飯町15－19－1,長屋建,所有
朽飯団地　D棟,越前市朽飯町15－19－1,長屋建,所有
西樫尾団地　1号棟,越前市西樫尾町2－25－1,共同住宅,所有
