https://schema.org/name,https://schema.org/address,https://schema.org/telephone,https://schema.org/faxNumber,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area
大道設備㈲,越前市北府三丁目12番60号,22-3226,22-7116,35.914022,136.165763,東
㈱斧平作商店,越前市錦町2番35号,24-0419,24-0420,35.901816,136.172022,東
㈱テクノ永谷,越前市国府二丁目12番7号,24-1868,24-2678,35.907856,136.166469,東
㈱板倉設備,越前市小松一丁目8番35号,22-3980,22-3982,35.905317,136.155384,西
児玉管工社,越前市下太田町21-8-13,22-3703,22-7937,35.90802995,136.1493117,大虫
田中管工設備㈱,越前市平出二丁目3番22号,22-1727,22-6066,35.91037,136.159886,西
㈲嶋谷設備工事,越前市姫川一丁目9番4号,22-1442,24-1442,35.889781,136.168172,南
上野ガス㈱,越前市行松町16号21番地,24-1555,24-3597,35.880523,136.163028,南
㈲水上設備工業,越前市姫川二丁目9番37号,22-6890,24-0862,35.894325,136.169316,南
㈱タケフ営繕,越前市千福町207番地,24-2273,24-5155,35.889861,136.152854,南
テラオライテック㈱,越前市本保町第8号5番地の1,22-5215,22-4100,35.930945,136.157152,吉野
㈱武生環境保全,越前市家久町第2号45番地の1,22-1044,24-5353,35.934595,136.173259,吉野
㈲ホクエー産業,越前市氷坂町21-5-1,22-9331,22-9511,35.927839,136.144374,吉野
上木建設㈱,越前市横市町27-8,22-6666,,35.907838,136.190386,国高
正光設備㈱,越前市押田一丁目3番8号,23-1248,24-3127,35.907821,136.186395,国高
㈱イガラシ,越前市村国二丁目6-2,24-2040,24-2041,35.901613,136.164478,国高
㈱ウエダ設備,越前市庄町第37号1番地の1,24-1760,24-5870,35.902397,136.20029,国高
山清建設㈱,越前市稲寄町第5号3番地の1,23-3510,23-8035,35.918408,136.180556,国高
宇野電機㈱,越前市村国一丁目2番7号,22-1398,24-3622,35.903241,136.176463,国高
㈱Ｅうの,越前市押田二丁目9-2,21-3800,,35.90784,136.188822,国高
越前管工事業協同組合,越前市横市町21-7-1,22-3600,22-3882,35.908418,136.198696,国高
北信建設㈱,越前市村二丁目1-11,22-1305,,35.90397992,136.1755205,国高
下村水道㈱,越前市上太田町第50号5番地の6,23-7800,22-8060,35.90204,136.14703,大虫
前田水道㈲,越前市下四目町第7号13番地,22-3555,23-6731,35.904764,136.139272,大虫
今西総合建設,越前市新保町2-7-1,22-6379,21-0409,35.917038,136.155953,大虫
うくま設備,越前市中新庄町第53号33番地の1,23-5482,23-5974,35.922681,136.213108,北新庄
万葉リフォーム,越前市葛岡町13-8-4,23-0636,23-0162,35.901994,136.196855,北日野
㈱Lead,越前市帆山町20-5-4,43-6061,43-6062,35.89241972,136.1798569,北日野
㈱アルネット企画,越前市宮谷町47-6-6,27-8538,27‐8581,35.890279,136.22146,味真野
㈱アカホリ管工,越前市粟田部町第36号1番地の6,43-1360,43-1777,35.916336,136.245367,粟田部
㈲宇野金物店,越前市粟田部町第31号26番地,42-0247,42-0707,35.915602,136.241341,粟田部
今立管工㈱,越前市定友町第10号26番地の1,43-1259,43-1517,35.91546,136.24456,岡本
姉川設備機工㈱,越前市岩本町第11号19番地,42-0686,42-0696,35.908316,136.245715,岡本
加藤設備商会,越前市新在家町6-42,42-1351,42-1351,35.912863,136.244368,岡本
クニ設備,越前市定友町4-4,42-2027,42-2027,35.913496,136.246846,岡本
㈱タナカコウ,越前市野岡町第24号1番地の10,43-0390,43-1790,35.925204,136.248295,南中山
㈲細井設備,越前市東庄境町第42号10番地4,42-3404,42-1015,35.93195,136.253447,南中山
㈱赤堀,越前市野岡町第5号9番地,43-1188,43-1187,35.923612,136.246118,南中山
住機メンテナンスカワサキ,鯖江市水落町4-11-8,67-4261,42-0704,35.96871706,136.1865308,
ライフ企画設備㈲,南越前町東大道第2号42番地の1,47-7000,47-7001,35.83928,136.189997,
㈱文殊四郎管工商会,福井市松本一丁目56番10号,0776-21-0292,0776-21-9299,36.076185,136.231954,
北陸設備工業㈱,福井市宝永4丁目6番3号,0776-24-1700,0776-24-1702,36.068011,136.220982,
㈱サカイエステック,福井市成和2丁目1009番地2,0776-30-0255,0776-30-0250,36.056466,136.248065,
第一設備工業㈱,福井市角折町第15号20番地の1,0776-34-0338,0776-36-2131,36.069277,136.181137,
山二工業㈱,大野市春日161-12-1,0779-65-5231,0779-65-5572,35.970533,136.505584,
三谷設備㈱,福井市豊島1丁目3番1号,0776-20-3450,0776-20-3444,36.057557,136.220477,
山本設備工業㈱,福井市和田1丁目5番12号,0776-24-2351,0776-24-2565,36.049095,136.240627,
㈱増田商会,福井市足羽1丁目3番6号,0776-36-3456,0776-36-2258,36.060454,136.211009,
勧和工業㈱,福井市問屋町3丁目609番地,0776-22-4643,0776-26-6296,36.052525,136.250306,
㈱青木設備工業,福井市江端町4字13番地,0776-34-1188,0776-34-3398,36.031652,136.215349,
㈱笠原電器商会,鯖江市田村町第3号6番地,62-1714,62-0851,35.966454,136.145966,
貴水管工㈱,福井市西学園3丁目413番地,0776-35-8005,0776-35-5133,36.069702,136.18617,
斉藤設備機工㈱,福井市順化1丁目14番16号,0776-22-3800,0776-51-1109,36.065192,136.216597,
きはら商店,越前町小曽原第21号4番地の1,32-2052,32-2602,35.931556,136.064362,
㈲小林水道工業所,越前町小倉第35号12番地の1,34-5485,34-5712,35.997693,136.099381,
サンエイ工業㈱,福井市光陽一丁目15番9号,0776-24-5843,0776-24-4113,36.066242,136.201754,
明電設備㈱,福井市灯明寺二丁目703番地,0776-25-0001,0776-21-0027,36.093547,136.210318,
㈱竹澤設備,福井市二の宮五丁目1番14号,0776-27-1212,0776-22-8415,36.086915,136.208705,
道傳設備㈱,福井市春日3丁目305番地の1,0776-36-5609,,36.05208,136.222905,
㈲ライフ産業,福井市八幡町第32号64番地,0776-83-0580,0776-83-0587,36.12576,136.143438,
合同設備工業㈱,福井市高木1丁目607番地,0776-53-0777,0776-53-0778,36.09718,136.226935,
㈱ニシザワハウジング,鯖江市上河端町第41号13番地の5,52-7700,52-7702,35.952415,136.202072,
㈱カナダニ,鯖江市東鯖江1丁目518番地の1,51-7200,51-7201,35.945191,136.19486,
㈱ウッドフィール,越前町織田102-7-1,36-0081,36-0170,35.95938726,136.0526288,
㈲小向設備工業,坂井市坂井町上兵庫第61号34番地,0776-72-1510,0776-72-1654,36.168941,136.209971,
マルイ設備工業㈱,鯖江市有定町一丁目10番3号,52-3200,52-3201,35.946321,136.17665,
竹内設備工業,坂井市春江町江留下宇和江18番地,0776-51-1274,,36.126754,136.220538,
㈲小林設備,鯖江市舟津町5丁目7番14号,51-7737,42-7847,35.931648,136.178487,
山岡設備,福井市冬野町5-7,0776-38-3064,0776-38-2777,36.009371,136.188466,
元結管工㈱,福井市大畑町20-8,0776-54-7255,0776-54-7256,36.066489,136.208517,
VEEma㈱,福井市大瀬町23-107,0776-35-5555,0776-28-6884,36.06910235,136.1849376,
㈱カイセイ,鯖江市丸山町1丁目6番27号,51-1085,51-1048,35.979164,136.182876,
㈲アクアテック,鯖江市水落町二丁目25番4号,53-0012,53-0016,35.961478,136.186766,
吉村設備工業㈱,福井市城東四丁目24番12号,0776-22-1120,0776-22-1140,36.05961139,136.2398453,
渡辺設備㈱,坂井市春江町江留上中央3番地2,0776-51-0550,0776-51-8550,36.124324,136.226446,
㈲清水総合設備,福井市加茂河原3丁目14番24号,0776-36-1507,0776-36-1331,36.064611,136.190864,
㈱梅井設備工業,福井市大宮6丁目5番10号,0776-23-5096,0776-23-5093,36.07962,136.197791,
久保水工業㈱,福井市八ツ島町第31号605番地,0776-27-5089,0776-27-5091,36.082129,136.198221,
㈱福井建材社,福井市問屋町二丁目34番地,0776-24-1150,,36.064106,136.217891,
協和住機㈱,福井市御幸三丁目3番38号,0776-23-3848,0776-23-3819,36.054883,136.235279,
㈱斉藤金物店,鯖江市本町三丁目1番2号,51-0051,,35.94646,136.18608,
道岸設備,福井市大東1丁目6-46,0776-54-8863,,36.068581,136.243125,
山光設備工業㈲,南条郡南越前町今庄11-9-1,45-7020,,35.780726,136.196857,
㈱古川設備工業,福井市門前一丁目110番地,0776-35-0422,,36.050455,136.195277,
㈱大林設備,丹生郡越前町小倉91-30-12,34-2460,,35.991219,136.098857,
㈱綜合設備工業所,福井市三郎丸一丁目210番地,0776-21-1771,0776-21-1750,36.076065,136.193108,
㈲家工房,福井市宝永三丁目3番12号,0776-30-0650,0776-23-3038,36.067125,136.222896,
野崎工務店,南条郡南越前町今庄84-28,45-1182,45-1182,35.772669,136.200015,
㈱サカエ設備,南条郡南越前町湯尾30-30,45-0150,45-1940,35.801885,136.194713,
㈲豊島設備,吉田郡永平寺町松岡室18-11,0776-61-1506,0776-61-3707,36.091181,136.287228,
㈱内田工務店,鯖江市屋形町1-24,51-0665,,35.94506,136.183602,
㈱マエガワ,大野市桜塚町101,0779-66-4067,,35.97230505,136.4995367,
㈱大生,丹生郡越前町梅浦86号32番地,0778-37-0160,,35.959727,135.991096,
㈱友和組,福井市大森町90-4,0776-98-3838,,36.029731,136.131376,
㈱冨坂工業,福井市上中町27-16-4,0776-53-4029,0776-53-9029,36.0831202,136.2684926,
㈲イタクラ,坂井市三国町平山56-41-3,0776-34-0468,,36.23352277,136.1630748,
㈱ＫｉＫｉ,丹生郡越前町上山中第6号5番地,62-3916,62-3926,35.956407,136.025699,
愛光設備,坂井市丸岡町下安田22-2,0776-67-2922,0776-67-2925,36.125517,136.253785,
㈱小林水道,坂井市春江町西太郎丸16-31-3,0776-76-3875,0776-76-2130,36.129343,136.213736,
サバエレイアウト工業,鯖江市平井町19-4-10,0778-62-2229,,35.965071,136.164587,
㈱フクシン,鯖江市糺町29-13-2,0778-52-3355,,35.973087,136.175622,
岬建設㈱,丹生郡越前町梅浦56-62,0778-37-0210,,35.955958,135.980381,
㈱藤田設備,福井市和田東一丁目1703-3,0776-43-0407,0776-43-0644,36.0528852,136.2464945,
創基水工㈱,福井市冬野町26-6,0776-97-9914,0776-97-9924,36.011506,136.188657,
興南設備㈱,福井市花堂北二丁目19番16号,0776-43-0277,,36.041462,136.210735,
㈱イースマイル,石川県金沢市金市町二15-5,076-258-2855,076-258-2856,36.61038,136.681362,
㈱清水組,鯖江市鳥羽町22-52,0778-52-1970,0778-53-0550,35.981142,136.200521,
清田住設,吉田郡永平寺町松岡平成156番地,0776-61-2085,0776-61-2085,36.111187,136.283302,
㈱シマキ工業,勝山市長山町二丁目6-4,0779-88-0111,0779-87-1113,36.070919,136.508686,
ミノルエンジニアリング㈱,敦賀市昭和町一丁目17-10,0770-23-8988,0770-23-8987,35.64440035,136.0612232,
㈱オクムラ機工,南条郡南越前町上平吹32-32-2,47-3697,,35.85639127,136.1866836,
塚田設備,福井市太田町47-16-1,0776-38-0465,0776-38-0465,36.00949484,136.2382392,
㈱川越設備,福井市三ツ屋二丁目201番地,0776-43-0247,,36.08504681,136.1922163,
㈱創永ホーム設備,福井市問屋町四丁目1101番地,0776-23-7571,,36.05196978,136.2556989,
㈱シンエイ,大阪市中央区谷町2-4-3アイエスビル9F,06-6944-7797,,34.68500992,135.5169427,
㈲クロダ設備,福井市三尾野町10号3番地,0776-39-0033,,36.00669771,136.1662043,
㈱みやかわ,福井市和田三丁目610-104,0776-25-2882,0776-25-2883,36.05025473,136.2445198,
高時管工㈱,福井市帆谷町28-2-125,0776-38-5378,,36.00725189,136.2330892,
