https://schema.org/name,https://schema.org/address,https://schema.org/telephone,https://schema.org/DayOfWeek,https://schema.org/PublicHolidays,https://code4fukui.github.io/rdf/#echizen_city_area,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long
水仙園,萱谷町4-9-1,２７－２１５５,火・金,可,味真野地区,35.87865,136.2327
和上苑,瓜生町33-20-1,２３－１１１４（太子園２３－３４４８）,木,不可,国高地区（＋太子園周辺）,35.92408,136.1775
第２和上苑,白崎町34-2-1,２５－６４００,水,不可,南地区 ・ 王子保地区,35.86445,136.1451
神山地産地消の会,広瀬町84‐3‐4,４２－８６８０,月～金,不可,神山地区  （＋南地区の一部）,35.88728,136.1321
粟田部魚商組合１,粟田部町29‐36,４２－０１０８,火,可,粟田部・岡本地区  （一部木曜日あり）,35.9166,136.2404
粟田部魚商組合２,粟田部町29‐36,４２－０１０８,金,,南中山・服間地区,35.9166,136.2404
仕出し弁当いそべ,菖蒲谷町12‐33‐1,２８－１８４９,月～金,可,白山地区,35.88228,136.0497
ワークホームそら,国高二丁目42‐6,２２－８２０５,月～金,不可,国高地区  （＋北日野・東・家久の一部）,35.90857,136.1899
宅配クック１２３,北山町43-1-26,２４－０８００,月～金,可,市内全域,35.91916,136.1314
今立ファミリーサポートひなたぼっこ,粟田部町68-3,４２－３２３５,水,不可,粟田部・岡本地区,35.91391,136.2359
