https://schema.org/name,https://schema.org/address,https://schema.org/Place,https://code4fukui.github.io/rdf/#echizen_city_origin,https://code4fukui.github.io/rdf/#category1,https://code4fukui.github.io/rdf/#category2,https://code4fukui.github.io/rdf/#category3,https://code4fukui.github.io/rdf/#echizen_city_area,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://schema.org/postalCode,https://schema.org/telephone,https://code4fukui.github.io/rdf/#physical_disability,https://code4fukui.github.io/rdf/#intellectual_disability,https://code4fukui.github.io/rdf/#mental_disability,https://code4fukui.github.io/rdf/#child_with_disabilities,https://schema.org/description
若越みどりの村,越前市萱谷町2-12-1,,社会福祉課,福祉,社会福祉施設,日中一時支援,味真野,35.8798199,136.2308063,915-0037,0778-27-1560,○,,,○,日常的に介護している家族の一時的な休息のために、事業所に本人を預けて日中見守るサービスです。
あいの里,越前市白崎町35-11-1,,社会福祉課,福祉,社会福祉施設,日中一時支援,王子保,35.8645028,136.1436476,915-0876,0778-21-0500,,○,,○,日常的に介護している家族の一時的な休息のために、事業所に本人を預けて日中見守るサービスです。
ぴーぷるファン,越前市帆山町5-31-1,,社会福祉課,福祉,社会福祉施設,日中一時支援,北日野,35.8963191,136.1778238,915-0051,0778-23-1439,○,○,○,,日常的に介護している家族の一時的な休息のために、事業所に本人を預けて日中見守るサービスです。
デイサービスいっしょ家,越前市家久町74-14-1,,社会福祉課,福祉,社会福祉施設,日中一時支援,吉野,35.9273706,136.1661323,915-0801,0778-29-3280,○,○,○,○,日常的に介護している家族の一時的な休息のために、事業所に本人を預けて日中見守るサービスです。
しくらデイ明日花,越前市千福町328,,社会福祉課,福祉,社会福祉施設,日中一時支援,南,35.8880223,136.1565538,915-0846,0778-25-5522,○,,,,日常的に介護している家族の一時的な休息のために、事業所に本人を預けて日中見守るサービスです。
デイケア・しくら,越前市今宿町8-1,,社会福祉課,福祉,社会福祉施設,日中一時支援,王子保,35.8654366,136.1699171,915-0861,0778-29-1133,○,,,,日常的に介護している家族の一時的な休息のために、事業所に本人を預けて日中見守るサービスです。
総合福祉支援事業所わかたけ,越前市西谷町33-10-2,,社会福祉課,福祉,社会福祉施設,日中一時支援,北日野,35.8779884,136.1898982,915-0046,0778-22-0007,○,○,,○,日常的に介護している家族の一時的な休息のために、事業所に本人を預けて日中見守るサービスです。
フリースペースいっぽ,越前市小野谷町14-1-11,,社会福祉課,福祉,社会福祉施設,日中一時支援,北日野,35.887249,136.186474,915-0054,0778-29-3637,,,○,,日常的に介護している家族の一時的な休息のために、事業所に本人を預けて日中見守るサービスです。
デイサービスふぅ,越前市小野谷町4-1-10,,社会福祉課,福祉,社会福祉施設,日中一時支援,北日野,35.887932,136.186092,915-0054,0778-43-5596,○,○,○,○,日常的に介護している家族の一時的な休息のために、事業所に本人を預けて日中見守るサービスです。
ケアフルハウス,越前市広瀬町153-12-2,,社会福祉課,福祉,社会福祉施設,日中一時支援,白山,35.889587,136.146716,915-0832,0778-22-0030,,,,○,日常的に介護している家族の一時的な休息のために、事業所に本人を預けて日中見守るサービスです。
