https://schema.org/name,https://schema.org/address,https://schema.org/telephone,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area
武生東小学校,越前市国府二丁目９−１２,22-0367,35.908238,136.167932,東
武生西小学校,越前市中央二丁目２−１３,22-0408,35.902514,136.158008,西
武生南小学校,越前市武生柳町１３−２０,22-0366,35.894305,136.164177,南
神山小学校,越前市広瀬町１０２−４３,22-1104,35.885727,136.135859,神山
吉野小学校,越前市本保町１７−１,22-0192,35.925757,136.157041,吉野
国高小学校,越前市国高一丁目１５−５,22-1045,35.912311,136.185814,国高
大虫小学校,越前市高森町１４－１５,22-1109,35.906189,136.141679,大虫
坂口小学校,越前市湯谷町２４－２５,28-1808,35.859033,136.086899,坂口
王子保小学校,越前市今宿町５－１４,22-1293,35.866112,136.167652,王子保
北日野小学校,越前市小野谷町２－２,22-1095,35.889204,136.190562,北日野
北新庄小学校,越前市北町４７－６,22-1040,35.913966,136.209785,北新庄
味真野小学校,越前市池泉町９−１,27-1323,35.890913,136.232896,味真野
白山小学校,越前市都辺町２４−２,28-1002,35.888062,136.05273,白山
南中山小学校,越前市中津山町３８−１３－２,42-0225,35.929634,136.246573,南中山
花筐小学校,越前市粟田部町４１−１２,42-0045,35.914087,136.240207,粟田部
服間小学校,越前市藤木町１２−１１,42-1002,35.935442,136.264824,服間
