https://code4fukui.github.io/rdf/#year,https://code4fukui.github.io/rdf/#cultivated_land,https://code4fukui.github.io/rdf/#areasquare_ha
平成17年,総数,10822.6
平成17年,田,3314.2
平成17年,畑,259.3
平成17年,宅地,1497.6
平成17年,山林,3813.4
平成17年,原野,110.8
平成17年,雑種地/その他,1827.3
平成18年,総数,13066.6
平成18年,田,3880.6
平成18年,畑,349.2
平成18年,宅地,1805.5
平成18年,山林,4795
平成18年,原野,113.5
平成18年,雑種地/その他,2122.8
平成19年,総数,13081
平成19年,田,3871.1
平成19年,畑,348.2
平成19年,宅地,1816.4
平成19年,山林,4800.6
平成19年,原野,111.6
平成19年,雑種地/その他,2133.1
平成20年,総数,13099.4
平成20年,田,3854.8
平成20年,畑,342.8
平成20年,宅地,1824.9
平成20年,山林,4818.3
平成20年,原野,110.8
平成20年,雑種地/その他,2147.8
平成21年,総数,13112.7
平成21年,田,3845
平成21年,畑,342.5
平成21年,宅地,1834.1
平成21年,山林,4822.6
平成21年,原野,110.4
平成21年,雑種地/その他,2158.1
平成22年,総数,13122
平成22年,田,3834.5
平成22年,畑,343.3
平成22年,宅地,1840.5
平成22年,山林,4824.4
平成22年,原野,110.5
平成22年,雑種地/その他,2168.8
平成23年,総数,13125.1
平成23年,田,3820.2
平成23年,畑,341.3
平成23年,宅地,1839.4
平成23年,山林,4822.2
平成23年,原野,110.4
平成23年,雑種地/その他,2191.6
平成24年,総数,13136
平成24年,田,3807.6
平成24年,畑,341.3
平成24年,宅地,1852.7
平成24年,山林,4831.4
平成24年,原野,110.4
平成24年,雑種地/その他,2192.6
平成25年,総数,13128.9
平成25年,田,3793.2
平成25年,畑,340.9
平成25年,宅地,1860.7
平成25年,山林,4832.6
平成25年,原野,111
平成25年,雑種地/その他,2190.5
平成26年,総数,13134.6
平成26年,田,3787.5
平成26年,畑,340.2
平成26年,宅地,1864.4
平成26年,山林,4828.2
平成26年,原野,111.5
平成26年,雑種地/その他,2202.8
平成27年,総数,13135.3
平成27年,田,3780
平成27年,畑,338.1
平成27年,宅地,1873.9
平成27年,山林,4824.7
平成27年,原野,112.3
平成27年,雑種地/その他,2205.5
平成28年,総数,13139.7
平成28年,田,3773.3
平成28年,畑,337.7
平成28年,宅地,1881.1
平成28年,山林,4837.2
平成28年,原野,112.4
平成28年,雑種地/その他,2198
