https://code4fukui.github.io/rdf/#year,https://code4fukui.github.io/rdf/#cultivated_land,https://code4fukui.github.io/rdf/#areasquare_ha
昭和61年,農用地,4411
昭和61年,森林,14370
昭和61年,原野,-
昭和61年,水面・河川・水路,712.5
昭和61年,道路,967.2
昭和61年,宅地,1522.9
昭和61年,その他,1022.4
昭和61年,総面積,23006
昭和61年,可住地面積,6901.1
昭和62年,農用地,4381
昭和62年,森林,14371
昭和62年,原野,-
昭和62年,水面・河川・水路,711.5
昭和62年,道路,978.3
昭和62年,宅地,1540.2
昭和62年,その他,1024
昭和62年,総面積,23006
昭和62年,可住地面積,6899.5
昭和63年,農用地,4339
昭和63年,森林,14371
昭和63年,原野,-
昭和63年,水面・河川・水路,707.2
昭和63年,道路,1018
昭和63年,宅地,1592.3
昭和63年,その他,1076.5
昭和63年,総面積,23075
昭和63年,可住地面積,6920.3
平成元年,農用地,4302
平成元年,森林,14371
平成元年,原野,-
平成元年,水面・河川・水路,704
平成元年,道路,1018.1
平成元年,宅地,1670.8
平成元年,その他,1009.1
平成元年,総面積,23075
平成元年,可住地面積,6990.9
平成2年,農用地,4280
平成2年,森林,14371
平成2年,原野,-
平成2年,水面・河川・水路,677.6
平成2年,道路,1014.4
平成2年,宅地,1695.8
平成2年,その他,1036.2
平成2年,総面積,23075
平成2年,可住地面積,6990.2
平成3年,農用地,4245
平成3年,森林,14255
平成3年,原野,-
平成3年,水面・河川・水路,678.2
平成3年,道路,1038.4
平成3年,宅地,1729.4
平成3年,その他,1109
平成3年,総面積,23075
平成3年,可住地面積,7012.8
平成4年,農用地,4210
平成4年,森林,14257
平成4年,原野,-
平成4年,水面・河川・水路,679.2
平成4年,道路,1054.3
平成4年,宅地,1757.7
平成4年,その他,1116.8
平成4年,総面積,23075
平成4年,可住地面積,7022
平成5年,農用地,4154
平成5年,森林,14258
平成5年,原野,-
平成5年,水面・河川・水路,679.5
平成5年,道路,1082.2
平成5年,宅地,1783.5
平成5年,その他,1117.8
平成5年,総面積,23075
平成5年,可住地面積,7019.7
平成6年,農用地,4115
平成6年,森林,14258
平成6年,原野,-
平成6年,水面・河川・水路,675.5
平成6年,道路,1049.8
平成6年,宅地,1719.7
平成6年,その他,1257
平成6年,総面積,23075
平成6年,可住地面積,6884.5
平成7年,農用地,4081
平成7年,森林,14245
平成7年,原野,-
平成7年,水面・河川・水路,674.3
平成7年,道路,1061.9
平成7年,宅地,1735.4
平成7年,その他,1277.4
平成7年,総面積,23075
平成7年,可住地面積,6878.3
平成8年,農用地,4035
平成8年,森林,14242
平成8年,原野,-
平成8年,水面・河川・水路,672.7
平成8年,道路,1077.8
平成8年,宅地,1752.3
平成8年,その他,1295.2
平成8年,総面積,23075
平成8年,可住地面積,6865.1
平成9年,農用地,4002
平成9年,森林,14201
平成9年,原野,-
平成9年,水面・河川・水路,671.4
平成9年,道路,1088.1
平成9年,宅地,1787.1
平成9年,その他,1325.4
平成9年,総面積,23075
平成9年,可住地面積,6877.2
平成10年,農用地,3956
平成10年,森林,14239
平成10年,原野,-
平成10年,水面・河川・水路,669.3
平成10年,道路,1093.5
平成10年,宅地,1804.2
平成10年,その他,1313
平成10年,総面積,23075
平成10年,可住地面積,6853.7
平成11年,農用地,3926
平成11年,森林,14238
平成11年,原野,-
平成11年,水面・河川・水路,667.5
平成11年,道路,1097.8
平成11年,宅地,1882
平成11年,その他,1263.7
平成11年,総面積,23075
平成11年,可住地面積,6905.8
平成12年,農用地,3903
平成12年,森林,14245
平成12年,原野,-
平成12年,水面・河川・水路,666.7
平成12年,道路,1098.6
平成12年,宅地,1887.4
平成12年,その他,1274.3
平成12年,総面積,23075
平成12年,可住地面積,6889
平成13年,農用地,3891
平成13年,森林,14241
平成13年,原野,-
平成13年,水面・河川・水路,666.1
平成13年,道路,1112.3
平成13年,宅地,1898.7
平成13年,その他,1265.8
平成13年,総面積,23075
平成13年,可住地面積,6902.1
平成14年,農用地,3849
平成14年,森林,14240
平成14年,原野,-
平成14年,水面・河川・水路,663.6
平成14年,道路,1151.5
平成14年,宅地,1915.1
平成14年,その他,1255.8
平成14年,総面積,23075
平成14年,可住地面積,6915.6
平成15年,農用地,3838
平成15年,森林,14240
平成15年,原野,-
平成15年,水面・河川・水路,662.9
平成15年,道路,1154.5
平成15年,宅地,1882.7
平成15年,その他,1296.8
平成15年,総面積,23075
平成15年,可住地面積,6875.3
平成16年,農用地,3817
平成16年,森林,14234
平成16年,原野,-
平成16年,水面・河川・水路,661.6
平成16年,道路,1157.8
平成16年,宅地,1883.9
平成16年,その他,1320.5
平成16年,総面積,23075
平成16年,可住地面積,6858.8
平成17年,農用地,3810
平成17年,森林,14189
平成17年,原野,-
平成17年,水面・河川・水路,675
平成17年,道路,1130.9
平成17年,宅地,1891.7
平成17年,その他,1378.4
平成17年,総面積,23075
平成17年,可住地面積,6834.6
平成18年,農用地,3800
平成18年,森林,14189
平成18年,原野,-
平成18年,水面・河川・水路,675
平成18年,道路,1052.4
平成18年,宅地,1902.8
平成18年,その他,1455.8
平成18年,総面積,23075
平成18年,可住地面積,6755
平成19年,農用地,3790
平成19年,森林,14189
平成19年,原野,-
平成19年,水面・河川・水路,675
平成19年,道路,942.6
平成19年,宅地,1913.7
平成19年,その他,1564.7
平成19年,総面積,23075
平成19年,可住地面積,6646
平成20年,農用地,3770
平成20年,森林,14188
平成20年,原野,-
平成20年,水面・河川・水路,675
平成20年,道路,1170.7
平成20年,宅地,1922.1
平成20年,その他,1349.2
平成20年,総面積,23075
平成20年,可住地面積,6863
平成21年,農用地,3750
平成21年,森林,14188
平成21年,原野,-
平成21年,水面・河川・水路,654.7
平成21年,道路,1171.7
平成21年,宅地,1931.4
平成21年,その他,1379.2
平成21年,総面積,23075
平成21年,可住地面積,6853
平成22年,農用地,*
平成22年,森林,*
平成22年,原野,*
平成22年,水面・河川・水路,*
平成22年,道路,*
平成22年,宅地,*
平成22年,その他,*
平成22年,総面積,*
平成22年,可住地面積,*
平成23年,農用地,3722
平成23年,森林,14186
平成23年,原野,-
平成23年,水面・河川・水路,652.2
平成23年,道路,1171.3
平成23年,宅地,1914.1
平成23年,その他,1429.4
平成23年,総面積,23075
平成23年,可住地面積,6323
平成24年,農用地,3723
平成24年,森林,14186
平成24年,原野,-
平成24年,水面・河川・水路,651.8
平成24年,道路,1172.3
平成24年,宅地,1927.4
平成24年,その他,1414.5
平成24年,総面積,23075
平成24年,可住地面積,6823
平成25年,農用地,3712
平成25年,森林,14186
平成25年,原野,-
平成25年,水面・河川・水路,651.5
平成25年,道路,1183.9
平成25年,宅地,1935.4
平成25年,その他,1406.1
平成25年,総面積,23075
平成25年,可住地面積,6831
平成26年,農用地,3702
平成26年,森林,14186
平成26年,原野,-
平成26年,水面・河川・水路,650.9
平成26年,道路,1185.6
平成26年,宅地,1939.1
平成26年,その他,1406.4
平成26年,総面積,23070
平成26年,可住地面積,6827
