https://code4fukui.github.io/rdf/#age,https://schema.org/category,https://code4fukui.github.io/rdf/#number_of_voters,https://code4fukui.github.io/rdf/#number_of_turnout
20～24,有権者数　男,43,
20～24,有権者数　女,45,
20～24,有権者数　計,88,
20～24,期日前投票 男,3,6.98
20～24,期日前投票 女,4,8.89
20～24,期日前投票 計,7,7.95
20～24,投票（当日・不在者） 男,5,11.63
20～24,投票（当日・不在者） 女,9,20
20～24,投票（当日・不在者） 計,14,15.91
20～24,投票 男,8,18.6
20～24,投票 女,13,28.89
20～24,投票 計,21,23.86
25～29,有権者数　男,54,
25～29,有権者数　女,48,
25～29,有権者数　計,102,
25～29,期日前投票 男,4,7.41
25～29,期日前投票 女,4,8.33
25～29,期日前投票 計,8,7.84
25～29,投票（当日・不在者） 男,7,12.96
25～29,投票（当日・不在者） 女,10,20.83
25～29,投票（当日・不在者） 計,17,16.67
25～29,投票 男,11,20.37
25～29,投票 女,14,29.17
25～29,投票 計,25,24.51
30～34,有権者数　男,45,
30～34,有権者数　女,50,
30～34,有権者数　計,95,
30～34,期日前投票 男,2,4.44
30～34,期日前投票 女,3,6
30～34,期日前投票 計,5,5.26
30～34,投票（当日・不在者） 男,12,26.67
30～34,投票（当日・不在者） 女,20,40
30～34,投票（当日・不在者） 計,32,33.68
30～34,投票 男,14,31.11
30～34,投票 女,23,46
30～34,投票 計,37,38.95
35～39,有権者数　男,70,
35～39,有権者数　女,43,
35～39,有権者数　計,113,
35～39,期日前投票 男,7,10
35～39,期日前投票 女,4,9.3
35～39,期日前投票 計,11,9.73
35～39,投票（当日・不在者） 男,31,44.29
35～39,投票（当日・不在者） 女,19,44.19
35～39,投票（当日・不在者） 計,50,44.25
35～39,投票 男,38,54.29
35～39,投票 女,23,53.49
35～39,投票 計,61,53.98
40～44,有権者数　男,73,
40～44,有権者数　女,68,
40～44,有権者数　計,141,
40～44,期日前投票 男,4,5.48
40～44,期日前投票 女,10,14.71
40～44,期日前投票 計,14,9.93
40～44,投票（当日・不在者） 男,31,42.47
40～44,投票（当日・不在者） 女,32,47.06
40～44,投票（当日・不在者） 計,63,44.68
40～44,投票 男,35,47.95
40～44,投票 女,42,61.76
40～44,投票 計,77,54.61
45～49,有権者数　男,71,
45～49,有権者数　女,55,
45～49,有権者数　計,126,
45～49,期日前投票 男,15,21.13
45～49,期日前投票 女,4,7.27
45～49,期日前投票 計,19,15.08
45～49,投票（当日・不在者） 男,35,49.3
45～49,投票（当日・不在者） 女,30,54.55
45～49,投票（当日・不在者） 計,65,51.59
45～49,投票 男,50,70.42
45～49,投票 女,34,61.82
45～49,投票 計,84,66.67
50～54,有権者数　男,47,
50～54,有権者数　女,72,
50～54,有権者数　計,119,
50～54,期日前投票 男,8,17.02
50～54,期日前投票 女,12,16.67
50～54,期日前投票 計,20,16.81
50～54,投票（当日・不在者） 男,18,38.3
50～54,投票（当日・不在者） 女,26,36.11
50～54,投票（当日・不在者） 計,44,36.97
50～54,投票 男,26,55.32
50～54,投票 女,38,52.78
50～54,投票 計,64,53.78
55～59,有権者数　男,81,
55～59,有権者数　女,73,
55～59,有権者数　計,154,
55～59,期日前投票 男,10,12.35
55～59,期日前投票 女,13,17.81
55～59,期日前投票 計,23,14.94
55～59,投票（当日・不在者） 男,41,50.62
55～59,投票（当日・不在者） 女,32,43.84
55～59,投票（当日・不在者） 計,73,47.4
55～59,投票 男,51,62.96
55～59,投票 女,45,61.64
55～59,投票 計,96,62.34
60～64,有権者数　男,94,
60～64,有権者数　女,85,
60～64,有権者数　計,179,
60～64,期日前投票 男,10,10.64
60～64,期日前投票 女,23,27.06
60～64,期日前投票 計,33,18.44
60～64,投票（当日・不在者） 男,56,59.57
60～64,投票（当日・不在者） 女,35,41.18
60～64,投票（当日・不在者） 計,91,50.84
60～64,投票 男,66,70.21
60～64,投票 女,58,68.24
60～64,投票 計,124,69.27
65～69,有権者数　男,88,
65～69,有権者数　女,96,
65～69,有権者数　計,184,
65～69,期日前投票 男,17,19.32
65～69,期日前投票 女,26,27.08
65～69,期日前投票 計,43,23.37
65～69,投票（当日・不在者） 男,48,54.55
65～69,投票（当日・不在者） 女,51,53.13
65～69,投票（当日・不在者） 計,99,53.8
65～69,投票 男,65,73.86
65～69,投票 女,77,80.21
65～69,投票 計,142,77.17
70～74,有権者数　男,82,
70～74,有権者数　女,98,
70～74,有権者数　計,180,
70～74,期日前投票 男,9,10.98
70～74,期日前投票 女,22,22.45
70～74,期日前投票 計,31,17.22
70～74,投票（当日・不在者） 男,57,69.51
70～74,投票（当日・不在者） 女,51,52.04
70～74,投票（当日・不在者） 計,108,60
70～74,投票 男,66,80.49
70～74,投票 女,73,74.49
70～74,投票 計,139,77.22
75～79,有権者数　男,48,
75～79,有権者数　女,77,
75～79,有権者数　計,125,
75～79,期日前投票 男,4,8.33
75～79,期日前投票 女,8,10.39
75～79,期日前投票 計,12,9.6
75～79,投票（当日・不在者） 男,37,77.08
75～79,投票（当日・不在者） 女,39,50.65
75～79,投票（当日・不在者） 計,76,60.8
75～79,投票 男,41,85.42
75～79,投票 女,47,61.04
75～79,投票 計,88,70.4
80～,有権者数　男,92,
80～,有権者数　女,199,
80～,有権者数　計,291,
80～,期日前投票 男,11,11.96
80～,期日前投票 女,14,7.04
80～,期日前投票 計,25,8.59
80～,投票（当日・不在者） 男,46,50
80～,投票（当日・不在者） 女,57,28.64
80～,投票（当日・不在者） 計,103,35.4
80～,投票 男,57,61.96
80～,投票 女,71,35.68
80～,投票 計,128,43.99
