https://schema.org/name,https://schema.org/alternateName,https://schema.org/address,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area
第1投票所,恩恵幼稚園ホール,住吉町3-29,35.8990345,136.1690812,東
第2投票所,生涯学習センターロビー,府中一丁目13-15,35.9040515,136.1691223,東
第3投票所,武生東小学校体育館,国府二丁目9-12,35.9085194,136.1682852,東
第4投票所,武生第一中学校体育館,平出一丁目6-1,35.9081511,136.1581009,西
第5投票所,武生西小学校体育館,中央二丁目2-13,35.902282,136.1582323,西
第6投票所,なかよし保育園遊戯室,高瀬二丁目4-14,35.8988495,136.1608379,西
第7投票所,南保育園遊戯室,若竹町12-23,35.8930237,136.1671984,南
第8投票所,武生南児童センターﾌﾟﾚｰルーム,武生柳町11-28,35.895556,136.1647066,南
第9投票所,武生第二中学校体育館,妙法寺町42-15,35.8873751,136.1604612,南
第10投票所,神山幼稚園,広瀬町102-43,35.8853874,136.1365871,白山
第11投票所,吉野小学校多目的ホール,本保町17-1,35.9258012,136.1576928,吉野
第12投票所,家久保育園遊戯室,家久町94-2-1,35.9226467,136.1670331,吉野
第13投票所,武生第三中学校第１ホール,村国二丁目3-56,35.9057785,136.1760106,国高
第14投票所,式部ふれあい館軽運動場,国高一丁目13-11,35.912457,136.1849607,国高
第15投票所,国高公民館スポーツルーム,国高二丁目324-13,35.9115817,136.1897227,国高
第16投票所,大虫小学校体育館,高森町14-15,35.9062573,136.1415147,大虫
第17投票所,エコビレッジ交流センター,湯谷町25-25-2,35.8602062,136.0869808,坂口
第18投票所,王子保公民館スポーツルーム,四郎丸町65-2-1,35.8674928,136.1687853,王子保
第19投票所,大塩町コミュニティセンター,大塩町20-1-1,35.8493119,136.1603255,王子保
第20投票所,北新庄体育館,北町54-25,35.9127408,136.2109994,北新庄
第21投票所,北日野児童センター,小野谷町1-13,35.8900352,136.1906689,北日野
第22投票所,味真野幼稚園,池泉町9-1,35.8905524,136.2327744,味真野
第23投票所,中居町ふれあい会館,中居町19-35,35.884491,136.2736291,味真野
第24投票所,白山小学校体育館,都辺町24-2,35.8879009,136.0535122,白山
第25投票所,安養寺保育園遊戯室,安養寺町89-29-1,35.9119331,136.0775972,白山
第26投票所,花筐小学校体育館,粟田部町41-12,35.9141133,136.24068,粟田部
第27投票所,生涯学習センター今立分館,定友町10-2-2,35.913827,136.2450525,岡本
第28投票所,八石集落センター,八石町2-42,35.9026318,136.2784484,岡本
第29投票所,今立勤労青少年ホーム,西庄境町21-7-1,35.9291772,136.2482449,南中山
第30投票所,服間改善センター,藤木町12-39-1,35.9347906,136.2639081,服間
第31投票所,横住開発センター,横住町40-6-2,35.9359145,136.301125,服間
