https://code4fukui.github.io/rdf/#year,https://schema.org/category,https://code4fukui.github.io/rdf/#value_Thousand
平成17年度（10/1～3/31）,一般会計歳入,18263083
平成17年度（10/1～3/31）,一般会計歳出,17097252
平成17年度（10/1～3/31）,特別会計歳入,15986732
平成17年度（10/1～3/31）,特別会計歳出,15525947
平成17年度（10/1～3/31）,公営企業会計歳入,1189731
平成17年度（10/1～3/31）,公営企業会計歳出,1345679
平成18年度,一般会計歳入,30442919
平成18年度,一般会計歳出,29118746
平成18年度,特別会計歳入,30137325
平成18年度,特別会計歳出,27818713
平成18年度,公営企業会計歳入,1770645
平成18年度,公営企業会計歳出,2447779
平成19年度,一般会計歳入,30878543
平成19年度,一般会計歳出,29465873
平成19年度,特別会計歳入,28305034
平成19年度,特別会計歳出,26030866
平成19年度,公営企業会計歳入,1459676
平成19年度,公営企業会計歳出,2991794
平成20年度,一般会計歳入,33040505
平成20年度,一般会計歳出,31270895
平成20年度,特別会計歳入,22541420
平成20年度,特別会計歳出,20717850
平成20年度,公営企業会計歳入,2526269
平成20年度,公営企業会計歳出,2670114
平成21年度,一般会計歳入,32654553
平成21年度,一般会計歳出,31730373
平成21年度,特別会計歳入,20449155
平成21年度,特別会計歳出,18717496
平成21年度,公営企業会計歳入,2156034
平成21年度,公営企業会計歳出,2408834
平成22年度,一般会計歳入,35724074
平成22年度,一般会計歳出,34473612
平成22年度,特別会計歳入,19953415
平成22年度,特別会計歳出,19990731
平成22年度,公営企業会計歳入,1916800
平成22年度,公営企業会計歳出,2268237
平成23年度,一般会計歳入,35398054
平成23年度,一般会計歳出,34256809
平成23年度,特別会計歳入,17960648
平成23年度,特別会計歳出,18023396
平成23年度,公営企業会計歳入,2000105
平成23年度,公営企業会計歳出,2307772
平成24年度,一般会計歳入,33027742
平成24年度,一般会計歳出,31854109
平成24年度,特別会計歳入,18939502
平成24年度,特別会計歳出,18829170
平成24年度,公営企業会計歳入,2167703
平成24年度,公営企業会計歳出,2528768
平成25年度,一般会計歳入,34733152
平成25年度,一般会計歳出,33668265
平成25年度,特別会計歳入,19266163
平成25年度,特別会計歳出,19142243
平成25年度,公営企業会計歳入,2134183
平成25年度,公営企業会計歳出,2242486
平成26年度,一般会計歳入,34447505
平成26年度,一般会計歳出,33181431
平成26年度,特別会計歳入,19850830
平成26年度,特別会計歳出,19662175
平成26年度,公営企業会計歳入,2368623
平成26年度,公営企業会計歳出,2609358
平成27年度,一般会計歳入,39588315
平成27年度,一般会計歳出,38191438
平成27年度,特別会計歳入,21115813
平成27年度,特別会計歳出,20960379
平成27年度,公営企業会計歳入,2533362
平成27年度,公営企業会計歳出,2469576
平成28年度,一般会計歳入,37464167
平成28年度,一般会計歳出,35958462
平成28年度,特別会計歳入,20965269
平成28年度,特別会計歳出,20761690
平成28年度,公営企業会計歳入,2638635
平成28年度,公営企業会計歳出,2730743
平成29年度,一般会計歳入,39255050
平成29年度,一般会計歳出,37854694
平成29年度,特別会計歳入,20892357
平成29年度,特別会計歳出,20577955
平成29年度,公営企業会計歳入,2458196
平成29年度,公営企業会計歳出,2549165
