https://code4fukui.github.io/rdf/#year,https://code4fukui.github.io/rdf/#realBalance_ratio,https://code4fukui.github.io/rdf/#currentAccount_ratio,https://code4fukui.github.io/rdf/#realDebtService_ratio,https://code4fukui.github.io/rdf/#standard_financial_demand,https://code4fukui.github.io/rdf/#standard_financial_income,https://code4fukui.github.io/rdf/#standard_financial_scale,https://code4fukui.github.io/rdf/#financial_strength_index,https://code4fukui.github.io/rdf/#financialAdjustment_FundBalance,https://code4fukui.github.io/rdf/#sinking_FundBalance,https://code4fukui.github.io/rdf/#currentAmount_of_LocalBonds
平成17年度,6.5,88.9,17,14628742,10451268,17866677,0.68,1477416,391890,37078265
平成18年度,6.9,89.2,16.1,14869227,11011290,18174399,0.72,1429450,392430,37285659
平成19年度,15.9,85.5,13.3,14286778,11365074,18196915,0.76,1736562,393468,35889126
平成20年度,15.2,87.5,13,14517787,12309739,19462215,0.81,2205543,197984,36117211
平成21年度,13.5,88.3,12.9,14272802,11014754,19170081,0.81,2375692,12230,36885735
平成22年度,3.9,94.3,12.7,14014175,12046941,19376728,0.76,2676638,14235,37892629
平成23年度,5.3,97.9,12.4,14012645,12608166,19032794,0.71,3239314,126247,39190442
平成24年度,5.1,87.7,11.8,14226064,10494318,19663132,0.7,3082555,14347,39567356
平成25年度,4.3,89.2,11.2,14090215,10355416,19793097,0.72,3086927,14368,41077008
平成26年度,5.9,88.2,10.6,14206576,9920796,19602312,0.72,3091249,14389,41552438
平成27年度,6.1,87.2,10.4,14936308,10405254,19931179,0.71,3096195,14410,42664483
平成28年度,6.9,89.8,10.4,15235348,11438831,19914386,0.72,2705572,14432,42894912
平成28年度,5.9,88.8,10.8,14992679,11173347,19710626,0.73,2457415,14453,44528303
